sub_id,door_win,door_loss
1001,"['0.7457607388', '0.5192648768', '0.1285562813', '0.7190108895', '0.6205717921', '-0.1393309832', '0.2129370421', '0.7092429399', '0.3438108265', '-0.2905165851', '-0.1511729658', '1.001104236', '0.5778790116', '-0.6842895746', '-1.085038424', '-0.1769648939', '0.03584231809', '0.3711203933', '0.6954358816', '0.7114633918', '0.3387316465', '0.03598796204', '0.0770791322', '0.4313431382', '0.7928318381', '1.158776522', '1.26903832', '0.263644129', '-0.005451859441', '-0.4020359218', '0.4129172266', '1.557449222', '2.446288347', '1.947146058', '0.1696289629', '-0.7464361191', '-0.4815689623', '0.3054240346', '0.8260760903', '1.386688948', '1.671532512', '1.241127729', '-0.211943984', '-0.9970353842', '0.3729904592', '0.9542811513', '1.007681251', '1.204192758', '0.6377074122', '-1.454042315', '1.652760983', '2.827181816', '2.878195763', '1.828307748', '1.086467624', '0.2056229115', '1.401037216', '2.638890743', '3.881279469', '2.755881548', '0.8185166121', '-0.1592479199', '1.79968214', '2.822164536', '2.744024277', '1.848370552', '-0.1716273874', '-0.8471832871', '1.719807863', '2.060436487', '1.373720407', '-0.3650873601', '-2.179009438', '-0.1456825882', '-0.5899620652', '-0.5023682714', '0.7293097973', '-0.248597607', '-1.055710673', '1.698451161', '0.3011009693', '-0.8976523876', '1.587165713', '0.8123217821', '-0.6139498353']","['0.1390769929', '0.779378891', '-0.3771960139', '0.5535862446', '0.6712688804', '-0.3202407658', '0.2618408501', '1.139276743', '0.7967563272', '0.2958176732', '0.5922672153', '0.4435449243', '-0.2134072781', '-0.6820085645', '-0.9835186601', '-0.2681775987', '0.04545222223', '0.0753750056', '0.649333477', '0.7695841193', '0.1916600615', '-0.1218004152', '0.1203587577', '0.2770897746', '0.9401062727', '1.102958918', '0.9213403463', '0.06606353819', '-1.137826085', '-1.007197022', '1.154084206', '1.643622756', '1.637222767', '0.7883930206', '-0.3071092963', '-1.196898103', '-0.6673811674', '0.4000515938', '0.6927517056', '1.072427869', '1.463911295', '0.6087163687', '-0.6687933207', '-0.8320240378', '-0.02769350447', '0.6324009895', '1.066434264', '0.9401277304', '0.2627284825', '-0.971539259', '1.101649523', '2.523244619', '1.15124321', '0.3530957699', '0.04430160299', '-0.3135461211', '1.751868486', '2.178862572', '1.88658154', '0.8393005729', '-0.2451470792', '-1.026187897', '0.8960482478', '1.367849827', '1.48191607', '0.5893512964', '-1.263223648', '-1.399927497', '0.5373145342', '1.058039427', '0.7481819391', '-0.7796990275', '-1.789791465', '-0.6328967214', '-1.043748379', '-0.9950128198', '-0.415430814', '-1.730042696', '-1.7399652', '0.4538796544', '-0.8206883073', '-1.254106641', '0.6306591034', '0.1896068454', '-0.8769531846']"
1006,"['-0.4724371135', '-0.3624266088', '-1.086023927', '-1.267726064', '-1.743119478', '-1.105849028', '-0.1524381936', '-1.936726689', '-2.083040237', '-0.7043895721', '-0.3080279827', '-1.849242091', '-0.7988223433', '-0.3416505456', '0.1338220388', '0.4542483985', '0.3747473359', '-0.7009429336', '-0.4635267258', '-0.8229575753', '-1.445748687', '-0.8778888583', '2.107549906', '0.3880945146', '-1.183319092', '-1.286674261', '-0.9741197824', '-0.4822315872', '0.167524159', '0.3908345699', '0.05664812401', '-1.018352151', '-1.552097678', '-0.3526258469', '0.611168623', '-0.01308989152', '-0.06539978087', '1.607519031', '0.2748716176', '-0.09426435083', '0.4908283949', '-0.1107061431', '-0.9006724358', '-1.360710979', '1.665908337', '0.4781044126', '0.3963658512', '-0.2502704561', '-0.5787875652', '-0.732683599', '0.3954662383', '0.4395656884', '-0.1094635129', '-0.6696138382', '-0.273762852', '0.125785917', '0.140583694', '-0.6507383585', '-1.263278246', '-0.1842435598', '0.3333469927', '0.1752023995', '0.08911227435', '-0.2655290067', '0.4879433513', '0.7249405384', '-0.3956119716', '-0.6558420658', '0.4839500785', '0.9727440476', '0.3225445151', '-0.4935646951', '-0.5296933651', '-0.03099424019', '0.2985101938', '0.4806644619', '-0.5751722455', '-1.009676218', '-0.7624382973', '-1.344378233', '-0.5745424628', '0.2243942618', '-0.2232500315', '1.379518628', '2.07656312']","['0.6457245946', '-0.3332900405', '0.6302901506', '0.646961391', '-0.06499792635', '-0.8100244999', '-0.2267726511', '0.01003536582', '-0.643268764', '0.05428390577', '0.188505739', '0.07582574338', '0.6314855814', '0.6871016026', '1.216379404', '0.808475852', '2.246656656', '1.024168253', '0.3795073628', '-0.1965774', '-1.160055995', '-1.23006916', '3.209177256', '1.591261625', '-0.8109683394', '-1.510331511', '-1.414464951', '-1.501378894', '0.2865166664', '0.4114999473', '-0.3581992388', '-0.6868160963', '-1.298762321', '0.1938605756', '0.7237370014', '-0.3123970032', '-0.9531437159', '0.66477108', '0.5293319821', '-0.2583874762', '-0.01267830562', '-0.3560980856', '-1.320927501', '-2.365998745', '1.288208604', '0.2962143421', '-1.197790027', '-1.24776125', '-1.542657495', '-1.495889425', '0.1580132842', '-0.1574234813', '0.09153209627', '0.4159706533', '0.06395109743', '0.1246836483', '-0.3541329205', '-0.8373573422', '-0.9428939819', '0.1265496016', '0.1597183347', '-0.7419387698', '-0.1757581234', '0.003042202909', '0.6908859015', '0.8411556482', '-0.7899232507', '-1.292662978', '1.51486361', '1.221056104', '-0.3209981322', '-0.5327132344', '0.03955585882', '1.230469465', '1.435085535', '1.304745555', '0.3300527334', '-0.7717097402', '-1.155857563', '0.1905770898', '0.131837368', '0.1089289188', '1.621585727', '2.274429798', '2.328304291']"
1009,"['1.177279115', '1.77137804', '1.653186083', '2.376255274', '2.434359074', '2.732196093', '0.3758689761', '1.506704688', '1.695608377', '2.49701643', '1.474690199', '3.011030912', '2.757184744', '1.853582025', '0.543625474', '-0.07546700537', '1.021157622', '2.434093714', '2.309052944', '1.782397628', '1.534956932', '0.03161667287', '-2.170287371', '-3.280227184', '-1.154703736', '-0.461702615', '0.8906249404', '1.061243057', '0.6445490122', '-0.6060233712', '1.67368567', '2.319456577', '2.567688465', '2.041384459', '0.7280316949', '-0.3598213196', '-0.88574332', '0.733635366', '1.499904633', '1.207614779', '0.79753232', '0.2455917001', '0.5284785628', '0.5707833767', '-0.7280044556', '-2.301841259', '-1.227582693', '-0.5598933101', '0.4046173096', '0.5743185282', '1.941208363', '1.667948842', '1.043141007', '1.264036179', '1.598899603', '0.7667369246', '1.715601921', '1.462255239', '0.9078342319', '1.019744396', '1.498144627', '0.5758962035', '0.9168952703', '-0.9641786218', '-0.568375349', '0.5279457569', '1.241187096', '1.248636484', '-0.7260802388', '-0.6738798618', '-0.1492657959', '1.005046487', '1.175846338', '0.05558459833', '0.4940459728', '1.443886399', '0.774530828', '1.073849082', '2.467760086', '1.366612196', '1.46810627', '2.25649333', '0.6801384687', '0.2816767097', '0.5762891769']","['1.41350925', '0.3202016056', '0.2405680716', '1.280030727', '1.417216539', '1.542049289', '-0.3400448561', '0.05819167942', '0.2588599026', '1.190437675', '0.2865347564', '0.4638860524', '0.8636698723', '0.156733036', '-0.4291518629', '0.2276345789', '0.0798843801', '0.5937641859', '1.278643131', '0.9197811484', '1.282319546', '0.5072516799', '-1.908014059', '-1.490636826', '0.271227628', '-0.09085135907', '0.3724111319', '0.48175174', '0.9007571936', '0.1220984831', '1.131839991', '0.649653852', '1.322102308', '1.641939759', '0.2845163345', '-0.5601564646', '-0.3254059255', '0.04237141088', '0.3667685091', '1.119033217', '1.156947494', '0.3151766658', '0.6914250255', '1.192528605', '-0.3363060951', '0.3562694788', '0.8168525696', '0.5757136941', '0.5387808084', '0.4914500117', '1.810415626', '1.052084088', '1.052268505', '1.604326367', '1.794022202', '0.881400764', '1.094173193', '1.059155226', '1.755466461', '2.286399841', '1.983013272', '0.5612486005', '1.245817542', '1.195451021', '1.066764235', '1.052454829', '1.493964434', '1.279141903', '2.066483498', '1.581988335', '0.8865635395', '1.070565581', '1.124916673', '-0.1667610556', '0.1123860478', '0.4210845232', '0.2950369418', '1.032006145', '2.204291344', '1.546413302', '2.545758486', '3.2621665', '1.281610727', '1.836806893', '2.164186478']"
1010,"['0.7938103676', '0.7830154896', '-0.301712662', '0.3983919024', '-0.04211828858', '0.149251923', '0.153558284', '0.6576250196', '0.007963581011', '-0.3148952425', '-0.8620425463', '0.2773955762', '1.078835249', '0.4213342071', '0.2653594017', '0.193521142', '0.4963157773', '0.9376655221', '1.708370566', '0.6678636074', '0.185913071', '-0.06981504709', '1.715119243', '2.4848876', '1.780185699', '0.4434536397', '0.3007908463', '0.08618635684', '0.03271649778', '0.436882019', '0.167719081', '0.0898539871', '1.026007891', '0.9710254073', '-0.5328415036', '-0.6580731869', '0.2515415251', '-0.5699352026', '0.1780553013', '0.8926911354', '0.5638400912', '0.46201244', '0.2285991758', '0.2268224657', '0.2466627955', '1.163424253', '0.6844621897', '0.9029375911', '0.8864533305', '0.5775639415', '-0.9803757668', '-0.9633078575', '-0.134934321', '0.5032419562', '0.002400273457', '0.327958107', '-0.161150828', '-0.0238416642', '0.05010131001', '-0.1028839871', '-0.5756424069', '0.1100025326', '0.1875302345', '0.3251650035', '-0.6079287529', '-0.481683135', '-0.1310879439', '0.3098561764', '-0.138051793', '-0.2526200116', '0.04099847004', '0.01951355301', '0.1811266094', '0.1788347811', '0.1570389569', '-0.03617243841', '-0.6915857196', '0.1410793066', '0.6922832131', '-0.9673582911', '-0.8435560465', '-0.2235800028', '-0.5843049884', '-0.9160414934', '-0.1367821842']","['1.839061141', '2.094918489', '0.01375903748', '-0.2723505795', '0.3794647157', '1.313934088', '0.7376480103', '0.292186588', '0.2052775174', '0.272159487', '0.02041850612', '0.2975717187', '0.2733361721', '-0.2739905119', '0.1513058394', '-0.6196156144', '0.07909739017', '1.489867568', '0.001617055037', '-0.02485345118', '1.161018372', '0.3431027234', '-0.0945629701', '1.162019253', '-0.01495042723', '0.2671728432', '0.6806274652', '0.5789059997', '0.4948815405', '-0.3288961053', '0.1268802583', '0.4407512248', '1.347431779', '1.437710047', '0.3270280361', '-0.1193840131', '-0.4382099807', '-0.6579585075', '0.01882700063', '1.477777123', '1.029238462', '0.7147412896', '0.920044601', '0.1420024484', '-0.7209774256', '-0.6331029534', '0.5540912151', '1.654412508', '1.729544044', '1.475071192', '-0.2837034464', '0.04105932638', '-0.6593167782', '0.1269128025', '1.009201646', '0.8383303881', '1.262483001', '1.046298027', '0.05702118576', '-0.02319057286', '0.3385505676', '0.5103965402', '0.8355436921', '0.2818030417', '-0.4113302827', '-0.243121475', '-0.4047718644', '0.1621148735', '-0.1459184736', '0.09215839952', '0.9751259089', '1.421146154', '1.707741618', '-1.510148406', '-1.412282109', '-0.2429875582', '-2.140985489', '-0.2824964523', '1.059209466', '-1.502583385', '-0.896746695', '0.382219106', '-1.053496361', '-1.484283328', '-0.6987910867']"
1012,"['-0.4184015989', '0.3296935856', '-0.4109225571', '-0.04362275451', '-0.09388042986', '-0.001302683842', '0.5776889324', '0.04480818659', '-0.2101425678', '0.01450909767', '0.2695906162', '0.1454227716', '0.1704963595', '1.1836766', '1.158238053', '-0.3395098448', '1.172469258', '1.142458797', '0.6358603835', '0.7289142013', '0.1814707667', '-0.1544054151', '1.035836935', '1.29111445', '0.792060554', '0.5202600956', '-0.6205233335', '-0.5636492968', '1.224050403', '0.1185030341', '1.148168921', '1.916486621', '1.622712016', '1.369098067', '1.687839389', '1.183490038', '0.006874028593', '0.4435687065', '1.759079814', '2.240463734', '1.175530553', '0.5132012367', '-0.2084094435', '-0.2050216049', '1.080490232', '1.354589343', '1.108021021', '0.9073297381', '-0.6544930339', '-0.4150037169', '0.7805350423', '1.09032023', '1.352910161', '2.233884096', '1.657589555', '-0.1518792063', '1.405550361', '2.126940489', '1.800919533', '1.726449847', '1.650036693', '0.5098018646', '1.91593492', '2.190762043', '1.513359666', '0.6640112996', '-0.2873781621', '-0.2539216578', '1.484076381', '1.516328692', '1.567740202', '0.2971716523', '0.1785867363', '1.946098685', '1.244835138', '0.05762429908', '1.57110393', '1.334067702', '0.4495402277', '1.258999467', '1.004225254', '1.181715488', '1.269114137', '0.9925826192', '0.6540453434']","['0.5793790817', '-0.1234297156', '0.9222216606', '1.236566901', '-0.3078615069', '-0.8926593661', '-0.4943448603', '1.277066112', '-0.507039845', '-0.3755997121', '0.2071312219', '0.8554183245', '0.2410556525', '0.9551825523', '0.9703916907', '-0.8112415671', '1.773303151', '1.251651645', '0.5365365148', '-0.08406602591', '-0.5100762248', '-1.330508471', '0.7277723551', '0.09404955059', '-0.09252049029', '-0.5344352126', '-0.5146164298', '-0.5365194082', '1.43304944', '1.106519222', '1.439487696', '1.068225741', '1.1886729', '0.9601173401', '1.38656795', '1.040605664', '-0.7219283581', '1.650588632', '1.084799647', '1.037869811', '0.319101274', '0.116425924', '-0.09504301101', '-1.315561414', '0.3131610453', '-0.2767656147', '-0.0643722266', '-0.198925212', '-1.001163483', '-1.316510201', '1.097547889', '0.2665776908', '-0.06615681946', '0.2594338953', '0.9103187919', '0.2604538798', '-0.3305177987', '0.7537789345', '1.130573273', '0.9523071647', '1.065192342', '0.3607107699', '0.3038497567', '1.115831852', '0.9482277036', '0.1454767138', '-0.4078009725', '-0.8544211984', '0.007023751736', '0.3312576413', '0.1701455116', '-0.8057963252', '-0.8557422161', '-0.1941736341', '-0.7635796666', '-1.045683384', '0.640758276', '0.07417859882', '0.1272855252', '1.249642849', '0.4548997879', '0.3725260794', '0.5328888297', '0.09059844166', '-1.151757836']"
1013,"['0.6499522924', '-0.1337105036', '0.934168458', '1.339967012', '2.482907057', '2.876164436', '1.942103505', '1.339988112', '2.995681524', '2.586428881', '-0.08973118663', '1.318632603', '2.626674175', '1.717578411', '0.9696196318', '2.120043278', '-1.028413892', '1.717322111', '3.062158585', '3.05671072', '1.844684243', '1.398708701', '-0.8815963268', '1.714244008', '2.533344984', '3.719278574', '2.020609617', '-0.4983366132', '2.926805496', '3.261734962', '0.186721772', '-0.9949093461', '2.40419507', '3.466705561', '1.786128998', '0.5954995155', '1.418524384', '0.1503008604', '-0.355558902', '1.783723354', '2.987234116', '1.35274744', '-0.3317171931', '0.4491877854', '0.1970715523', '1.070652127', '1.183673501', '0.6389849186', '0.1594173014', '-0.2610365748', '2.903281689', '1.143257856', '1.353338361', '1.453664541', '1.838140488', '1.909347534', '0.93356812', '-0.9193480015', '0.729899168', '1.996555448', '1.339489341', '0.7932463884', '-1.109044433', '-0.0004743009922', '2.271337986', '0.9463476539', '0.07178223133', '0.6473044157', '-0.4394604266', '0.5245626569', '0.2099075168', '-0.125537321', '0.03578427806', '1.83629775', '2.209951162', '1.702074051', '0.96448493', '0.5622130036', '0.4538038075', '0.4733539522', '0.5679187179', '0.3714303374', '-0.4033316076', '1.462103724', '1.93232882']","['0.8756098747', '0.6312938929', '-0.3949591219', '0.4026331007', '1.719546676', '1.731883883', '0.8327270746', '0.4303120077', '2.279365063', '2.078337193', '-0.3566297591', '0.5971825719', '0.8397119641', '0.5562002063', '0.1354243904', '0.8455687165', '-0.4416384399', '-0.7045182586', '0.17801404', '1.04394114', '0.4731250107', '0.3834382594', '-0.8549391031', '-1.61177814', '-0.0383577086', '1.587460279', '0.6274232864', '-0.6721436977', '1.393687844', '2.48091054', '-0.3640198112', '-1.407314181', '0.4138027132', '1.083112478', '-0.1929415911', '-0.5114790797', '1.121773124', '0.2083681524', '-0.8196055293', '0.06949098408', '0.5421078205', '-0.4484910369', '-1.230101228', '0.1550015807', '-0.3232728541', '-0.6387807131', '-0.5383574367', '-0.5313619375', '-0.7095522285', '0.1294858754', '1.245177627', '-0.4306010902', '0.0928677246', '0.6736132503', '1.28096354', '1.874217153', '-1.086773276', '-1.771864414', '-0.1266468763', '0.7306008935', '0.464259088', '0.3957974017', '-1.228996754', '0.2376918197', '1.221266508', '0.436660707', '-0.1732160151', '0.4018406868', '-0.3344066739', '0.2439844608', '0.163700223', '-0.04200932384', '0.4013035297', '1.326904893', '1.778171897', '1.314126253', '-0.03675309196', '-0.005460368935', '0.6711164713', '0.01536770351', '-0.3500926495', '0.7937957048', '0.03399711847', '1.013692141', '2.393341303']"
1015,"['-0.3982834518', '-0.2163355649', '1.213467598', '-0.2148788869', '-1.456207156', '-1.070559025', '0.1592669785', '-0.8769940734', '-1.524065137', '-1.065342546', '0.5844017267', '-0.05007270724', '-0.7712337375', '-1.057718873', '-0.905662477', '-0.2059863806', '-0.1067534089', '0.7036857605', '0.1204636768', '-0.9872176647', '-1.320705414', '-0.1589252353', '0.428433001', '0.386725992', '-0.5059227347', '-1.53144753', '-1.971683383', '-1.031852126', '-1.377458811', '-0.2183291316', '-0.4481479526', '-0.3548578918', '-0.1863911599', '-1.615799069', '-1.669761062', '-1.598949313', '-0.7912413478', '-0.2810978293', '-0.09005240351', '0.6709438562', '-0.2088139653', '-0.6297628284', '-1.33052206', '-0.8534880877', '0.1077405661', '0.8282536864', '0.2390332818', '-0.3164080977', '-1.772076607', '-1.764636993', '-1.554548264', '-1.473978758', '-2.033284903', '-1.221462846', '0.01254898962', '0.1570125967', '-1.073471546', '-1.413858414', '-1.482707977', '-1.779166222', '-1.798394203', '-1.407244563', '-0.4962895215', '-0.1013508365', '-0.9746482372', '-1.590958595', '-1.55159843', '-1.390007734', '2.19151473', '0.8183624744', '-0.08525544405', '-0.8066334724', '-1.279926538', '-1.624547243', '-1.048767328', '1.86792922', '-1.368369818', '-0.3563575149', '1.438877702', '-1.354431272', '-0.5267638564', '-0.01066663209', '-1.049718738', '-0.6878492832', '-1.035333872']","['-0.1811473966', '-0.9602726102', '1.332219243', '0.5096644759', '-1.374997139', '-1.31550765', '-0.8289005756', '-0.1275240779', '-1.751377344', '-1.517422199', '0.0977884084', '-1.297831893', '-1.980829716', '-1.713978171', '-1.280026555', '-1.543465734', '-0.7207120657', '0.4281286001', '-0.06640011072', '-1.480409384', '-1.89175117', '-1.255824566', '0.01977766864', '0.8903006315', '0.1166894659', '-1.681258082', '-1.978068948', '-0.7562266588', '-0.09572259337', '0.2270151377', '-1.556387663', '-1.296049237', '-0.9566649795', '-1.502708673', '-1.035600901', '-0.5970050693', '-0.4205614626', '-1.022286892', '-0.5410878658', '0.3379835188', '-0.2974387705', '-1.112919927', '-1.199026585', '-0.6767749786', '-0.1802079976', '0.526982069', '-0.2644237876', '-1.702979565', '-1.882631898', '-1.074300647', '-2.73584342', '-3.150717258', '-2.923124552', '-1.128987789', '0.4735949934', '0.5563254952', '-2.034885645', '-2.696177721', '-2.196834564', '-1.140322566', '-0.8345271349', '-0.7680284381', '-1.628457904', '-1.129808307', '-0.8853959441', '-1.768728495', '-2.078189373', '-1.516998887', '1.498102188', '-0.09031710029', '-1.735743642', '-2.109086037', '-1.49612546', '-2.655622482', '-2.08239007', '0.516390264', '-2.525272608', '-1.778099179', '0.6320853233', '-2.73417449', '-1.513189673', '-0.4095846713', '-2.706171989', '-1.621897817', '-1.729233861']"
1016,"['1.551746011', '1.916478992', '-0.2021986842', '1.580636859', '1.872368574', '2.51625824', '4.017834663', '0.06072236225', '0.4142626524', '1.322800517', '2.218440533', '1.569972038', '3.117383242', '2.732191563', '1.949183822', '2.91716218', '1.191151381', '1.924049258', '3.117896557', '0.5482884049', '0.5187156796', '2.79277873', '1.690062165', '0.4382509589', '-0.5218546391', '-1.089222908', '0.6074695587', '3.276660919', '1.038100481', '1.360465407', '0.7763887644', '-1.370149732', '0.8379380703', '2.667168379', '1.410506368', '1.059960008', '2.03110218', '0.8679775596', '-0.2754894495', '0.5348821282', '1.224973202', '0.2503540516', '0.497097671', '1.076712966', '0.4339457452', '-0.3134651184', '-0.3425086737', '-0.2150782645', '0.9133113027', '1.495464206', '-0.8018883467', '-0.897778511', '2.521440029', '4.572315216', '2.917951345', '1.44503808', '-0.9579406381', '-1.031157017', '2.445565701', '2.256332636', '0.6117219329', '1.166924477', '-0.3732047379', '0.5981820822', '0.07461939007', '-0.1557444334', '1.39557147', '0.5726505518', '0.3615011871', '0.993889451', '1.525012136', '1.669262171', '0.5156984925', '1.011387944', '2.292095184', '2.242928982', '2.174640894', '3.904056072', '3.065952063', '1.78254509', '1.143601775', '1.220731974', '0.629748106', '-0.9604641199', '0.3356060982']","['1.298832059', '1.515664697', '-0.2259241939', '1.041958451', '1.929050207', '2.167770147', '3.086267471', '0.5288316011', '0.8069007397', '0.7486004233', '1.328130484', '-0.2668240368', '1.355373025', '2.244390011', '2.528870583', '1.744844675', '-0.07541032135', '0.7927464247', '2.938863277', '1.76916194', '1.263098598', '1.880250335', '0.3309567571', '0.7740197778', '1.248166442', '-0.1881095022', '0.8730350733', '2.893133163', '1.002166867', '0.5943853855', '0.3225977719', '-2.209149837', '-0.7413119674', '1.354750156', '1.640986681', '1.858838677', '1.180375695', '0.01202662475', '-1.780815363', '-0.9043986797', '1.289072394', '1.289389968', '0.9424079061', '0.3711843193', '-0.6357374787', '-0.7147909999', '0.1743674427', '-0.06830460578', '0.8653644323', '1.304761648', '-0.877466917', '-2.011769056', '0.3788686097', '1.775658846', '1.33498311', '0.6260119677', '-2.023593664', '-2.919166088', '-1.077029586', '-0.2067402899', '-0.114715673', '0.4152383208', '-2.169526577', '-1.183394074', '-0.4856600463', '-0.08155357838', '0.405780673', '-0.07490506768', '-0.3204196393', '0.6275264621', '1.184163332', '1.334711194', '-0.2431786358', '0.05564213917', '1.075996518', '1.067732573', '0.4592008293', '1.571431637', '1.581649303', '-1.117675066', '-1.436316371', '-0.4396679401', '-1.984274864', '-2.613781691', '-0.5761970282']"
1019,"['-0.1660863459', '-1.850038409', '0.7968211174', '0.2874060869', '0.1822188348', '0.6079748273', '0.5929414034', '-0.6349252462', '-0.9367039204', '-0.3378141224', '0.634773612', '1.689734221', '1.215848446', '1.210393429', '1.146922231', '-0.06941495836', '0.4780552685', '0.2740606964', '0.3880824745', '0.8140750527', '1.530019164', '0.2350372076', '0.6701695919', '0.4865260422', '0.07586568594', '0.3324148357', '1.176043272', '1.418295026', '0.1842864007', '0.8422252536', '0.4000666738', '0.9787038565', '1.244844675', '0.778503716', '0.7679898143', '0.4829800427', '0.6371521354', '-1.507051349', '0.7395036221', '0.6502271295', '0.160071075', '0.2552101016', '0.4626424015', '0.136646837', '-1.10487783', '-0.4981521666', '-0.02324614301', '0.3562951982', '0.5337988734', '0.6701362729', '0.4702299237', '0.06847810745', '0.4453122318', '1.040099502', '0.4223824739', '0.2267290801', '-1.546835542', '-1.031351924', '-0.5362321138', '0.2808805406', '0.2504358292', '0.5093002319', '-1.758185387', '-1.958486915', '-1.521282077', '-1.017651916', '-0.2269601524', '0.5531767011', '-1.21051693', '-1.249121428', '-1.182646632', '-0.9874512553', '0.1040296108', '0.7763402462', '0.4649412632', '0.228387922', '0.9866098166', '0.4443304241', '-0.3608678579', '-0.3083665073', '-0.1386964172', '-0.15588817', '-1.500282288', '-1.024720192', '-0.4006440043']","['-0.6103305221', '-1.897531509', '0.2553728819', '0.5799553394', '0.2976891398', '1.080898881', '1.498417497', '0.1641034484', '-0.1244482994', '0.8986353874', '1.688577652', '1.786594391', '1.261405945', '0.9554857612', '1.599085569', '0.5888448954', '0.9241673946', '1.141414165', '1.503394842', '1.798442364', '2.674403906', '1.639985323', '1.372985125', '1.374298215', '1.282363176', '2.094688892', '2.955081224', '2.97568512', '-0.2949481905', '-0.1774472594', '0.3261080086', '1.390999675', '2.163962364', '1.364825368', '0.9537428021', '0.7315397859', '0.323586911', '-0.01584741287', '1.077746391', '2.088308811', '1.719902039', '1.795502424', '1.689753413', '0.9141785502', '-0.192816481', '0.2256310284', '0.9694265127', '1.615870237', '1.947896004', '1.711954951', '0.6037322283', '0.542472899', '1.603541851', '1.780148029', '1.193181753', '0.8673992157', '-1.009961724', '0.4041587412', '0.7640531063', '0.7874747515', '1.405339837', '1.664577723', '-0.1614090353', '-0.5639410615', '-0.1515135616', '0.6275365353', '1.436009049', '1.355631709', '0.01382792089', '0.1755197495', '0.4917523265', '0.9146147966', '1.627147913', '0.3369710147', '0.2438205481', '0.1124624759', '0.4810067713', '0.5232194066', '0.2651906312', '0.1844327301', '0.6279918551', '0.8932555914', '-0.6169415712', '0.7741405368', '0.9428818822']"
1021,"['-2.042081356', '-0.9861741066', '0.3287673295', '-0.8515976071', '-1.130917311', '-0.8653790355', '1.040424466', '-0.2420384139', '-0.5772570968', '-0.5668951869', '1.622084618', '0.0704420656', '0.2670611441', '0.3093389273', '0.3271313012', '1.656188607', '1.240837336', '0.5542420149', '0.8553550839', '1.54889679', '1.54120338', '1.961671233', '1.546341538', '0.7072005868', '0.746987164', '1.458358765', '2.278963089', '2.382018328', '1.080170631', '2.142867327', '2.482107162', '1.371231675', '1.313709974', '2.945109367', '2.695222139', '1.52674818', '2.045847178', '2.792267561', '1.578210711', '1.36082828', '2.966510773', '3.582461834', '2.412674904', '1.560087085', '1.948620319', '1.26281023', '2.00220871', '2.862362146', '2.702954769', '1.630932093', '-0.902892828', '-1.139187694', '-0.1844925284', '2.720649481', '2.597445488', '2.43259716', '-0.3319553435', '-1.608113408', '-1.11909616', '3.182626247', '2.791598082', '2.101516008', '-1.126065373', '-0.9892114401', '0.5723000169', '1.286000729', '1.979578018', '1.95220685', '-0.1981375068', '-0.3337686658', '0.5868525505', '2.588673353', '2.15781498', '-1.177086234', '0.4877319336', '0.848241806', '-1.241101742', '1.837308168', '2.927467346', '-1.510827661', '2.356246471', '2.786359072', '-1.008024931', '0.1386789531', '0.6174116731']","['-1.996015668', '-1.920083046', '-0.4173431396', '-0.9808437824', '-0.9810894132', '-0.1020927802', '1.045327067', '-0.8293278813', '-0.9306248426', '-0.07836510986', '0.192177847', '0.655589819', '0.5122582912', '0.24636814', '-0.8552525043', '0.05852256343', '1.547055244', '0.9717626572', '0.4177269638', '0.6230299473', '0.3362076283', '0.2496152967', '1.70313406', '0.8788263202', '0.0989895016', '0.7338387966', '1.46108079', '0.8072859049', '0.697047472', '1.300662756', '2.647936583', '1.803030014', '1.146252275', '2.78851366', '2.874672651', '0.7008172274', '0.8156770468', '2.591310978', '1.820497274', '1.540821552', '1.989403963', '2.116511106', '1.136306405', '0.3822919428', '1.777536511', '1.626760125', '1.229902506', '1.432281137', '1.762967467', '0.6550087333', '-0.5456341505', '-0.483609885', '-0.08656611294', '2.48465991', '2.064769506', '1.149692416', '0.3428928256', '-0.8767738938', '-0.7015683651', '2.88152194', '2.586835146', '0.7463566661', '-0.6429742575', '-0.4923402667', '0.1530500948', '0.8358374834', '1.086591363', '1.145930171', '0.2741112709', '-0.4186117947', '0.4110851288', '2.357050657', '1.689048409', '-0.7414348722', '0.1395028979', '-0.2599300742', '-1.128741503', '0.9140895605', '1.549042463', '-1.476502895', '0.8814000487', '1.214694977', '-0.9590682387', '-0.8076792359', '-0.3492982984']"
