sub_id,door_win,door_loss
1001,"['-0.437931776', '0.05639303103', '0.05396692082', '0.5323966742', '-0.2172516882', '0.05328379944', '0.5324870944', '0.8458484411', '0.8117783666', '0.9595152736', '0.9119186401', '0.7049435377', '0.9789325595', '0.491525352', '2.10308671', '1.772891879', '2.541573524', '2.209135532', '3.231202841']","['0.3663216829', '-0.09211815894', '0.02542425506', '0.1100607961', '-0.3382968307', '0.8931907415', '0.758005619', '1.269244671', '-0.06692580134', '0.482129395', '0.734459877', '-0.0894433707', '0.8835608959', '0.1798600107', '2.192934036', '1.42676115', '2.354152918', '2.090038061', '3.029434204']"
1006,"['-0.8133282661', '-1.37659359', '-0.8504877687', '-0.3600518107', '-1.499664903', '-0.7347400188', '0.3757645488', '1.349804163', '-0.3876043558', '0.5237979293', '1.131132364', '-0.9218361974', '-0.703920722', '-0.7587108612', '0.2618983686', '0.2281145602', '0.7982261181', '0.3235554695', '0.4264813364']","['-0.6626109481', '-1.302993894', '-0.9674536586', '-0.3017114699', '-1.1295228', '-0.9417935014', '-0.6038370132', '-0.06812401116', '-0.6273289919', '0.03569696844', '-0.1759695709', '-1.266459584', '-0.5832028389', '-0.8435795903', '-0.8211202621', '-0.8588825464', '-0.4226469696', '-0.8128226995', '-0.6365050673']"
1009,"['1.059734941', '0.6307194233', '1.216382861', '0.8951296806', '0.5270254612', '1.116925716', '1.387687445', '0.8783551455', '0.9298447371', '1.768042088', '0.8309173584', '0.8075217009', '1.363381863', '0.5452052951', '1.600182056', '1.654115319', '2.308607101', '1.195387721', '2.291074753']","['1.063367605', '1.77408433', '2.583563089', '0.8572928309', '1.974521518', '1.340907931', '1.279203773', '1.044831157', '1.81769824', '2.172456741', '0.4267843664', '1.278244615', '1.536031127', '0.3224582374', '0.5216684341', '2.336445332', '1.864934683', '-0.01325378008', '1.69879508']"
1010,"['0.6823583841', '1.03643775', '0.9801011086', '1.009114027', '1.019567609', '0.5223405957', '0.3045130968', '-0.04927945137', '1.241076708', '0.8595481515', '0.5597808361', '1.054962754', '0.7460431457', '0.9094808102', '0.02577727847', '0.9338380098', '0.6131463051', '0.03284305707', '0.5407571197']","['-0.9485441446', '1.310722947', '0.4764940441', '0.4012521505', '1.689524055', '0.3698509037', '0.0482644178', '0.1366793811', '1.021236658', '0.7447270751', '0.06295569241', '1.503923178', '1.168062687', '0.4319608808', '0.1021379605', '0.3222304285', '0.2035115957', '0.08446349204', '-0.2876713276']"
1012,"['0.1990231574', '-0.08451120555', '0.465012908', '0.799777627', '0.4772798121', '-0.2152365893', '1.072271705', '0.6593872905', '-0.273888737', '0.4902358949', '0.9057607055', '-0.4346447587', '0.2828379869', '0.6617109776', '1.773051977', '0.1803325415', '0.3652637005', '0.6532716751', '0.06432900578']","['0.7922075391', '0.1151081249', '0.5767199397', '0.918450892', '0.1164581478', '-0.3155200481', '1.225380659', '0.5196318626', '0.4252098203', '0.562767148', '0.3944019079', '-0.5836346745', '-0.1316872388', '0.00943083968', '0.6582149863', '0.6565721631', '-0.04177435115', '-0.3599052131', '-0.492025435']"
1013,"['-0.4438638687', '-0.4464633465', '-0.8837266564', '-0.9839199185', '-0.9839747548', '-1.368048429', '-1.085714817', '-1.495546103', '-1.01477015', '-1.552417994', '-1.587595344', '-1.208678007', '-1.786527753', '-0.7062514424', '-1.646575689', '-0.6282936931', '-0.9238142371', '-1.570006132', '-0.7169086933']","['-1.456956983', '-0.9185349345', '-2.170639277', '-2.129300356', '-1.600719333', '-1.055686235', '-0.9677464962', '-1.608898282', '-0.4518934488', '-1.371378779', '-1.954320312', '-1.555187702', '-2.125978231', '-1.468494058', '-1.307845592', '-0.5439510942', '-1.243458271', '-2.22635293', '-2.797159195']"
1015,"['-0.3222043812', '0.2024123222', '0.3018932939', '-0.06341462582', '0.4707728028', '-1.284290195', '-1.419635415', '-0.344794631', '-0.7355958819', '-0.7431497574', '-0.8158797622', '0.8689978123', '0.9125091434', '-0.8225039244', '-0.7253733277', '-0.3895412385', '-0.09754151106', '-0.1049014926', '0.7557510734']","['-1.222211003', '-0.8531965613', '-0.3570922911', '-0.5563813448', '0.07844010741', '-2.554770947', '-2.747318745', '-1.293712258', '-1.929180145', '-1.641426325', '-1.299052835', '0.1589684933', '0.5351537466', '-1.072681069', '-1.367422938', '-1.025638342', '-1.054607391', '-0.8328469992', '0.1620706171']"
1016,"['2.039518595', '1.276962519', '3.488125801', '3.551169872', '3.999562979', '1.216599464', '2.059138298', '2.724914074', '1.444402575', '2.408737421', '2.386320591', '3.097075462', '3.17327404', '2.843140125', '0.9110145569', '1.009554505', '1.274457335', '2.414157152', '2.254239798']","['1.638141155', '1.220111251', '2.827858925', '3.062470198', '3.059117317', '1.321479321', '1.601457357', '2.301437855', '1.768336773', '2.174584389', '2.264122009', '2.290980577', '2.39104414', '2.447392464', '1.471479297', '1.883416414', '1.855683684', '2.735104084', '1.80694592']"
1019,"['0.5996916294', '0.5324819684', '0.1786723435', '-0.3427751958', '0.9788642526', '0.2331158817', '0.4733029902', '-0.1708358824', '0.3093957901', '0.4744427204', '-0.007689694408', '0.6615816355', '0.9935966134', '0.4084895849', '-0.1496610641', '-0.9322243929', '-0.3909966648', '-0.07758190483', '0.1991313398']","['0.5221065879', '0.3992115259', '0.08882129937', '-0.3796206117', '0.8944801092', '1.001399755', '1.534699678', '0.8234224319', '0.5628513098', '0.7044200301', '0.1447208822', '0.7091643214', '0.9127575755', '0.5448434949', '0.3733366132', '0.01048264187', '0.02513188496', '0.3178791702', '0.3197859824']"
1021,"['0.2779449224', '0.06171296537', '0.6215620637', '2.129423141', '0.935734272', '-0.3397224545', '-0.1170936078', '-0.1153378636', '-0.147660464', '0.324154526', '1.671653986', '-0.0371462889', '0.9124231935', '2.482522488', '0.3958284259', '0.07200472802', '0.5765682459', '1.329583287', '0.920148015']","['1.248506665', '0.3804485202', '1.470654964', '1.823901057', '1.08879745', '0.2480871528', '0.9568353295', '0.4651604891', '0.03672341257', '0.5963628292', '0.6866708398', '-0.3156674504', '0.3277577162', '1.13354063', '1.229274154', '0.7157377005', '0.8083286285', '0.3800735176', '1.197424769']"
