sub_id,soc_win,soc_loss
1001,"['0.2682558596', '-0.361884594', '-0.2558050156', '-0.103163816', '0.3106884062', '1.572158694', '0.9811390638', '-1.282551765', '-0.4831369221', '0.88802737', '0.1640313864', '1.196820736', '2.173442125', '1.101436496', '1.61645484', '1.841508865', '-1.402923107', '-0.1422192156', '0.772677362', '1.01762557', '1.842380762', '0.9698536992', '-1.525655746', '-1.397079945', '-1.305156827', '0.04353191704', '0.9150815606', '0.1174998581', '2.319017649', '2.001767635', '0.439935416', '0.1771148145', '1.3426404', '1.377753019', '0.6496342421', '1.254408479', '1.423445821', '-0.5306245089', '-0.8134665489', '0.2977722585', '0.4909126759', '0.5605412126', '0.8828773499', '0.7983227372', '-1.469815373', '-0.5903638005', '-0.3554494679', '0.5336040854', '0.3060221076', '-0.01223032828', '0.8119680882', '-0.02818388864', '0.1976968199', '0.5812148452', '2.798172235', '2.773380756', '-1.483100891', '-0.8915880322', '0.08043804765', '-0.09849479795', '1.051027536', '1.392622113', '-1.069220781', '-0.4377715886', '-0.8704892397', '-0.2295208573', '0.2281095386', '0.6791618466', '-0.8379324079', '-1.184785843', '-0.7268576026', '-0.6848060489', '-0.1035586596', '0.4376615286', '0.5964764357', '1.659463406', '-0.3450226486', '0.5271576047', '2.529386759', '-0.9298869967', '-0.2306083143', '1.102254033', '-1.236551404', '-1.093016744', '-0.4485577643']","['-0.0005505539011', '-0.4716887474', '-1.234167218', '-1.122681737', '-0.5359996557', '0.2018166929', '0.3590933084', '-1.247200966', '-1.593347192', '-0.9619069695', '-0.3397602737', '-1.491636395', '0.3216519058', '0.9239110947', '1.109452248', '1.115709782', '-1.017039895', '-1.157530904', '-0.3920511305', '0.3986102343', '0.7937961221', '0.6597887278', '-0.4936166108', '-1.184562922', '-1.577511787', '-1.209537625', '0.08392886817', '0.2932929993', '1.348363638', '1.003957868', '2.291064978', '-0.8674386144', '-0.949332118', '-1.148493886', '-0.3077803552', '0.3305596113', '0.6750543714', '1.19109869', '-0.4078925848', '-0.7598701119', '-1.322177768', '-1.306098819', '-0.1951051354', '0.1441888809', '-0.4514359534', '-0.598554194', '-1.126631737', '-1.272310495', '-0.5712714195', '-0.443364948', '-1.396916747', '-1.84818995', '-2.319788933', '-1.607848883', '0.5288252234', '0.8686067462', '0.1518971622', '-1.903782368', '-2.603165627', '-2.458782911', '-0.7740086913', '-0.0249771066', '-1.145074844', '-2.219203234', '-2.702250242', '-1.856102705', '-0.3446498215', '-0.1964629441', '-1.839752436', '-2.225912333', '-1.782899022', '-0.8191000819', '-0.5653925538', '-0.6904380918', '0.07126142085', '0.3878478706', '-1.569337845', '-0.4604059756', '0.5294566154', '-2.380375862', '-1.241088748', '-0.2853786647', '-2.849398136', '-1.749262691', '-0.8049333096']"
1006,"['1.702621698', '-0.2277748883', '-0.6345337033', '0.9642214775', '1.539823413', '0.9154083133', '-0.1420915127', '1.714652658', '1.877341866', '0.9421298504', '0.3681701422', '-0.352419585', '0.8418490887', '0.3722156286', '0.4209881425', '-0.2799540758', '-1.871368289', '-1.22337091', '-0.05985840037', '1.003860593', '0.9484664202', '-0.03997906297', '-1.838192344', '-1.459921718', '-1.051705599', '0.3036945164', '1.040013433', '0.7268912792', '0.3541499674', '0.357763499', '-1.273985744', '-1.313294172', '0.7627621889', '0.759299159', '0.6464617848', '0.5988534689', '-0.9602715373', '-0.3302735686', '0.4483857155', '0.6845953465', '-0.2424846441', '1.060348153', '0.8389433026', '-0.8030601144', '-0.9061608911', '-0.7055683732', '-1.691730738', '0.04222735763', '1.19686532', '0.6089755297', '1.094134092', '-1.366479754', '-0.2496705949', '1.370649338', '2.16767478', '2.430992603', '-0.4326385856', '0.792073369', '1.698760867', '1.648594737', '2.666825056', '2.233850002', '2.796490431', '2.806534767', '1.777506113', '1.717895269', '1.294374704', '-0.3922879994', '-0.2923889458', '-0.5672835112', '0.8105080128', '1.435933828', '0.221897319', '0.9505935907', '0.9519479871', '0.2612963319', '-1.222631574', '0.7385513186', '1.689472795', '1.493704677', '2.367806435', '2.975366592', '3.21953845', '3.098010302', '2.835417032']","['-0.007977898233', '0.3484549522', '0.3471821249', '1.225924969', '0.1537240893', '0.06441156566', '0.5540670753', '1.291077018', '1.740619302', '1.143588662', '0.3866715729', '-0.08921467513', '0.1833427548', '-1.048374295', '-1.256340981', '-0.9115172029', '-0.05343775824', '-0.4611798823', '-0.7176814079', '-0.2446987331', '0.4365597367', '0.5179805756', '-0.6915028095', '-0.7338832021', '-1.089527965', '0.05484212935', '1.003770471', '0.5981571674', '0.300108701', '0.6346796751', '-0.4864351451', '0.4749352932', '0.3200270534', '-0.02351734415', '0.1781265885', '0.1188842803', '-0.7561036944', '0.3883876204', '1.336926699', '-0.2572213113', '-1.614885807', '0.0302577652', '1.114215016', '-0.1370708197', '-0.003474959405', '-0.8170176744', '-1.70407331', '-0.01061606221', '1.125724435', '0.7987088561', '1.160714984', '0.1946146935', '-0.539118886', '-0.1954009831', '0.6129415035', '1.297605991', '-0.01679860801', '1.076914549', '-0.04295070842', '0.2312585115', '1.310083747', '1.1771487', '1.211714506', '-0.6271297336', '-0.6774747372', '0.1996071786', '0.6668439507', '-0.9934726357', '-2.020595074', '-1.651011705', '-0.4713706672', '0.6924496293', '-0.2376679182', '-1.292408228', '-1.068338752', '-0.9569829702', '-1.681694746', '-1.206645131', '-0.5611156821', '-0.9247425199', '-0.3528658152', '0.06106912345', '-1.310014963', '-0.1170849279', '0.1341767907']"
1009,"['0.9465084672', '0.03851071745', '1.611522079', '1.57634747', '1.796005726', '1.107791424', '1.035945773', '-0.3406550586', '0.2026159912', '0.780571878', '0.2747891247', '0.9447832704', '1.873689175', '1.664668322', '1.270272255', '0.7055233121', '0.1737938821', '0.4853463173', '1.278348327', '1.10160327', '0.9501200914', '0.5402058959', '-1.639620185', '-2.259888887', '-1.526594043', '0.1750998199', '0.6735572815', '-0.4985010326', '2.296604395', '2.282035351', '0.3229719698', '0.2197079957', '-0.1052942425', '0.5444720984', '0.9022190571', '1.672130823', '0.8353251219', '0.007047503255', '-0.1540896595', '-0.226921469', '0.7122419477', '0.7561901212', '1.040225506', '-0.02416386269', '-1.113382697', '-1.972382665', '-1.121997356', '0.4247261286', '1.329624176', '-0.7844873071', '0.05992453918', '-0.1199515462', '-1.622038841', '-1.941989541', '-0.02977178991', '2.593609095', '-0.821203351', '-1.388136148', '-1.984757066', '-1.640363455', '0.1239528432', '1.76957798', '-1.25586307', '-0.62681216', '0.3360128999', '0.5978574157', '0.3682022095', '-0.9788835645', '-0.1344346106', '-0.02636942826', '0.2682062984', '0.5086534619', '-1.8602494', '0.2893004715', '0.6167691946', '1.546637416', '-0.1113295108', '-0.764608562', '0.5525442958', '-0.3568176031', '-1.100221395', '0.432846278', '0.2239257842', '0.2600622773', '0.8631570339']","['1.199552059', '-0.360075444', '0.5578623414', '0.7845998406', '2.162384033', '2.031600475', '0.3188727796', '0.4782694578', '0.2406936586', '-0.184064284', '-1.285749435', '0.1890052259', '1.409664631', '1.951322198', '2.335619926', '1.618002534', '-0.02976923995', '0.8069967031', '1.5162673', '1.948697448', '1.963521004', '0.5132191181', '-0.6153892875', '-0.4596454799', '-0.4855730534', '0.06634307653', '0.1533933133', '-1.530277252', '1.115526915', '1.663633585', '-0.7839832902', '-0.4371707737', '0.09243500233', '0.1030155569', '0.1772292703', '1.538249016', '1.381076097', '-0.2534607351', '-0.3386921883', '0.6400406361', '0.6724191308', '0.3247000873', '1.201242089', '0.0220226068', '-0.700293839', '-1.503692508', '-1.243773222', '-0.5562835336', '0.05189847946', '-1.545133471', '-0.6180104613', '-0.7534732223', '-1.205540299', '-1.879886508', '-0.8863097429', '1.368776202', '-1.708886147', '-1.621106148', '-1.045937538', '-1.423544407', '-0.6590214968', '0.7414605618', '-0.9384233356', '0.5379760265', '0.5137548447', '0.001040796749', '-0.1352862865', '-1.432054043', '-0.6651903987', '-0.5068336725', '-0.2277676612', '0.1103850454', '-1.541935444', '-0.09700500965', '0.3212430775', '1.069321752', '-0.5066913962', '-1.012312174', '0.1239942834', '-0.2221937329', '-0.91460675', '0.1387963444', '1.036283851', '0.71602422', '0.4554854929']"
1010,"['0.3103677332', '0.6561362147', '-0.08030807972', '0.7882350683', '0.4948599339', '-0.3580777347', '0.6058850884', '0.3304471672', '1.032408237', '1.069959998', '1.301362634', '0.3078811765', '0.5290752053', '-0.09557509422', '-0.3507310152', '1.360690355', '-0.1594547927', '0.5145744681', '0.7638537884', '0.06987109035', '-0.1654134691', '1.09837997', '0.2332984656', '0.3430040181', '0.5001972318', '0.6793648601', '0.7710716128', '1.157273412', '0.4208806455', '-0.6023129821', '-0.1996026784', '0.2851195335', '0.2237096429', '0.100227356', '0.5009155273', '0.1444832832', '0.7024066448', '0.3021982014', '0.2761990428', '0.9832902551', '0.5200116634', '0.01312124915', '-0.3814814091', '-0.2010621279', '1.413740873', '1.225680947', '0.4153199494', '0.4309447706', '0.209516421', '-0.1467781812', '0.4569211006', '1.74215436', '-1.169582605', '-1.825814486', '-0.3217332661', '-0.2966198623', '2.193732977', '2.839951038', '0.7254334092', '-0.9728580117', '0.03998430073', '0.0669464618', '2.740149975', '2.831925392', '1.816525936', '1.08816123', '0.4196199477', '-0.7483289838', '3.312716961', '2.702858925', '1.915058494', '0.7341790199', '-1.157296062', '-0.9457441568', '-0.8227286935', '-0.3716031611', '-1.311532617', '-1.605961919', '0.1022563204', '1.468227029', '-0.3158603907', '1.235520363', '3.81048727', '3.214091778', '3.197732687']","['0.008463998325', '-0.1447602212', '-0.2366316915', '-0.008781102486', '0.4857450426', '0.001205551322', '0.6960620284', '-0.2377842218', '0.7118479013', '1.175085425', '1.275497437', '1.449800849', '1.110232711', '0.9366211891', '1.09437108', '1.873703361', '0.009193666279', '-0.00466783205', '1.206456542', '1.467751503', '1.02083075', '1.213744879', '-0.2779431343', '-0.2987903953', '1.177844524', '1.899444818', '1.983969808', '1.547172785', '1.548379302', '0.4352526963', '0.06716858596', '0.6319452524', '1.131502986', '1.348371029', '1.645570278', '1.281115174', '1.008954883', '-0.4961739182', '-0.1412377208', '-0.1413684785', '0.1460968256', '1.013242483', '0.7513622046', '0.2529702783', '-0.9152472615', '-0.803514719', '0.4264676869', '1.125295639', '1.175905704', '0.5950458646', '-0.4930852652', '0.3250330091', '-1.012455225', '-0.2795700729', '1.097733378', '0.7364007235', '0.3071251214', '0.2580134869', '-0.4845654368', '-0.08440055698', '0.8539736867', '0.02150259539', '0.09011122584', '0.0527568832', '0.1286944896', '0.4728606045', '-0.1729908884', '-0.7819348574', '-0.3945976198', '0.06283326447', '0.539529562', '0.4170584083', '-0.2180586308', '-1.021852016', '-0.2665140629', '0.6506296396', '-2.126259804', '-1.547092795', '0.2101016939', '-1.400735378', '-1.418966174', '0.4139055312', '0.06696744263', '0.4088388383', '1.191156268']"
1012,"['0.6561339498', '1.753268838', '1.141052008', '0.9505987167', '0.164590314', '1.583796501', '3.403995752', '-1.250767469', '-1.548148751', '1.011181235', '3.231264114', '-1.758845568', '-0.4269736409', '1.177986145', '1.470712304', '0.316155225', '-0.04276451468', '-1.147495151', '-0.5183698535', '0.1449516714', '1.371460199', '1.735233784', '1.459422231', '-0.002243601717', '-1.062649488', '-1.475592852', '0.4982961118', '2.150424957', '1.363468528', '1.266705275', '1.471149802', '-1.159994125', '-2.095594645', '-0.6950141191', '1.532901645', '2.567618608', '1.911612749', '1.495013595', '-1.355382323', '-2.246661663', '-1.470276833', '0.2505339384', '1.704615831', '1.398386002', '0.3280207813', '-1.108807802', '-1.071036577', '-0.621776104', '0.5202379823', '0.5932725668', '1.068706751', '-1.500287652', '0.8004484177', '2.304869413', '2.221877337', '3.082734108', '-0.2402910143', '-1.381889462', '-1.092319727', '0.2422156632', '2.115774393', '3.964899302', '0.1359467953', '-0.5202209949', '-1.349496722', '-0.3395341635', '1.980358839', '2.164691925', '0.2273924202', '-0.7228164673', '-0.8595983386', '0.4955192506', '0.9259589314', '1.820654869', '1.58659029', '1.658329725', '0.9982202053', '1.497054338', '1.846719503', '-0.05842677876', '-0.003004625905', '1.358528733', '0.5481333733', '-1.106134295', '-0.5655542612']","['0.5544573665', '1.571959496', '0.9601195455', '0.2965613902', '0.05628807843', '1.181446075', '2.50758338', '-1.411330819', '-0.7713995576', '1.1218431', '2.161534071', '-1.233430862', '-0.85747087', '0.5666566491', '0.868573904', '0.2971040905', '0.5670274496', '-1.193578839', '-1.449056268', '0.083992064', '1.831739068', '1.822404027', '1.679106832', '0.04648075625', '-1.018904686', '-0.6670345068', '1.904321313', '2.677973509', '0.5167653561', '0.05461497605', '0.631023705', '-0.6247625947', '-1.870716333', '-1.226521134', '1.356658816', '2.003583431', '1.095585823', '1.032013893', '-0.7159311175', '-2.249470949', '-1.917236209', '0.7205935121', '1.935867548', '1.244264245', '0.3366527557', '-1.127204299', '-1.266197681', '-0.4546837211', '1.455141902', '1.571021438', '1.110784173', '-2.081490755', '-1.061833262', '-0.1783900112', '0.5406885147', '1.843850255', '-0.6409598589', '-2.497646093', '-2.658910036', '-1.280231476', '0.9439412951', '2.464761257', '-0.1967485249', '-1.645994782', '-2.313168764', '-0.2670049071', '1.819766164', '1.572126746', '-0.6988825202', '-1.597156525', '-1.113981605', '1.122444987', '1.021841645', '0.6080184579', '0.2663265467', '0.4230901599', '-0.1869900674', '-0.1211613268', '0.6507977843', '-1.621182084', '-1.182807922', '0.06110849977', '-1.128509641', '-2.422433615', '-0.7802276611']"
1013,"['1.211139321', '-0.2027012408', '0.4428673089', '1.200806141', '2.05389452', '2.58086133', '1.663658261', '1.678893447', '1.152111173', '1.370854259', '-1.008203506', '-0.4599570036', '-0.08259667456', '-0.1445310414', '-0.3392609656', '0.2798190713', '-0.9156858921', '1.690819979', '1.946673155', '1.850679159', '1.32094121', '0.8622327447', '-0.5985549092', '3.08622241', '2.84256506', '2.397072792', '1.393104672', '-0.2519008815', '-0.6985901594', '0.7835062742', '-0.9392576218', '1.126525521', '2.388243437', '2.266411543', '0.2039388865', '-0.7976988554', '0.9850296378', '-1.162893534', '1.381808281', '2.673063755', '2.390153408', '1.556589723', '0.4863295257', '0.995883882', '0.9398233891', '2.060314178', '1.520769477', '1.790383935', '1.426211596', '0.05666267872', '1.919409275', '0.9481878281', '1.394904017', '0.7324493527', '-0.2069706321', '-0.2590613365', '-0.06558659673', '1.020074964', '1.775544763', '1.310184598', '-0.07005600631', '-0.4184848368', '1.510799289', '1.875134468', '2.422116041', '2.309143782', '1.450603247', '1.342708111', '1.898255229', '3.006275892', '3.152309418', '2.831719875', '0.6215105057', '1.408291459', '1.418925524', '1.840640783', '1.028591156', '0.7821211815', '0.569701612', '0.8821562529', '0.3415485322', '0.03797949478', '0.8717115521', '1.025774837', '2.343541861']","['2.608788013', '0.9633330703', '0.732619524', '1.534519672', '2.718544722', '2.811944008', '2.550515652', '1.022123456', '1.159356713', '2.351847887', '-0.04675523937', '1.244717598', '1.996112943', '1.453113079', '0.7337770462', '1.765230536', '-0.06465323269', '2.086316824', '1.984533072', '2.130530357', '1.707946181', '1.318925381', '0.1213641465', '1.756370902', '1.857769847', '3.076833487', '2.608316422', '-0.191391319', '-1.415339708', '0.694014132', '-1.578420758', '0.9043215513', '3.549088478', '2.125779152', '-0.3192071319', '-0.5916060209', '1.608457327', '-1.719402432', '1.454678774', '3.648661137', '2.539307356', '1.510352612', '0.7474299669', '1.183698416', '0.728371501', '1.996614337', '1.911177039', '2.410560608', '2.358503342', '0.0920112282', '0.5501505136', '0.5368736982', '1.175714612', '0.1480110586', '-1.664016366', '-1.000295281', '0.6588613987', '1.657683849', '3.126177549', '1.056787848', '-0.7484254837', '-0.3736610115', '2.205170155', '3.376737595', '2.520402908', '2.363157988', '1.68541038', '1.259603024', '1.734759688', '2.619371891', '3.197700024', '3.136137247', '0.9514323473', '0.9993174076', '1.401108146', '1.05304563', '0.5353195071', '0.2504892647', '0.3067965209', '1.370670557', '0.09905355424', '0.811770618', '1.567969322', '1.209878922', '2.828926086']"
1015,"['-1.159218907', '-0.03414049', '0.3779526353', '-1.600406528', '-0.8372442126', '-0.1030682847', '0.8560497761', '-1.032728195', '-0.2711123228', '0.5523352027', '0.6582096815', '-0.6050853729', '-0.3647383153', '0.7091847658', '1.172959924', '1.987607837', '0.3686538637', '-0.4967591166', '-2.085788727', '-0.9643062949', '1.481081963', '2.662209988', '-0.06647486985', '-0.9702958465', '-1.349892259', '0.5779175758', '1.785716653', '1.743063092', '2.381095648', '1.712741733', '-0.3958555162', '-0.5718935132', '-1.328766704', '-0.1778063625', '1.25062871', '1.83858645', '2.473833084', '-0.04784714803', '-0.1527287066', '-1.68144381', '-1.589523196', '0.8613599539', '1.776125908', '2.609052181', '0.9543027878', '-0.5810530782', '-0.794039309', '1.691364646', '1.971053481', '1.81144464', '-0.7224538326', '-0.8371183872', '-0.9953699112', '-0.6392120123', '0.820153594', '1.641245008', '0.01868951507', '-0.8548181057', '-1.457992196', '-0.588950038', '0.5295264721', '0.2135289311', '-0.7494953871', '-2.351824284', '-1.053139925', '0.8352364302', '0.09486814588', '-0.4364824295', '-1.065693974', '-1.011001348', '0.6401779652', '0.6914699674', '0.7765343785', '-1.22622788', '-0.5817373395', '0.8542109132', '-1.268312335', '-0.8995015621', '0.7009847164', '-1.42485261', '-0.7601505518', '-0.03382493928', '-1.896780372', '-0.7079943419', '-0.1840691864']","['-1.164030194', '0.02476858161', '-0.4617162645', '-2.17125082', '-1.009794593', '-0.3716033101', '2.047208309', '-1.366694808', '-0.06684035808', '1.007166147', '0.6041229963', '-1.732753634', '-1.125900626', '0.8017752171', '0.6035535932', '2.498417377', '0.4194908142', '-1.565518856', '-2.952518463', '-1.702834725', '0.7607472539', '2.635608912', '-0.1229036972', '-1.98054409', '-2.312213898', '0.1923701316', '1.851753235', '1.061197042', '1.619301796', '1.546552062', '-0.8328855634', '-1.829843521', '-2.6496346', '-1.465091944', '0.3865270913', '1.41900444', '2.384157419', '-0.5138002038', '-1.111829638', '-1.75731945', '-1.936079741', '-0.6428760886', '0.3837390542', '1.549111366', '0.128232792', '-1.007194757', '-1.160895944', '0.3948359489', '0.5442041755', '0.3492313921', '-0.7383746505', '-1.288066864', '-1.33856535', '-0.5071553588', '0.8526811004', '1.391248345', '-0.4445819557', '-1.440479755', '-1.628074408', '-0.8060976267', '0.1675092429', '0.03487608209', '-1.547782421', '-2.429916859', '-1.295875549', '0.392663151', '-0.02418703027', '-0.5027626157', '-1.895812869', '-1.690101266', '-0.4067727625', '-0.2049061656', '0.05713832751', '-0.8976820707', '0.1550421715', '2.056792974', '-0.6821295619', '0.3381741941', '1.528223515', '-0.4823295176', '0.3422920704', '-0.2084093988', '-1.098931909', '-0.3765001297', '-0.7821865082']"
1016,"['-0.7015453577', '-1.035492659', '2.341120958', '0.1538111418', '-0.1384587586', '-0.06158713624', '0.05326266214', '-0.3374945819', '-1.357963443', '-0.7445720434', '0.06460471451', '1.885756016', '2.119519472', '1.993419528', '1.564200759', '2.078778267', '3.578854799', '-0.05551846325', '-0.4469290674', '-0.05149554834', '-0.2501603067', '1.567191362', '3.383381367', '-0.4473744929', '-1.470331192', '-0.6151489615', '0.2488817573', '1.552033186', '2.858067751', '2.956978083', '0.2713969052', '-0.2074276358', '1.069856167', '1.186762929', '1.532271266', '2.130435228', '2.793425083', '0.6499729753', '-0.2700289488', '-0.8866444826', '0.9410661459', '0.6282699704', '0.9556617737', '2.663612604', '-0.7189311981', '-2.548698664', '-0.6604269743', '-0.402407527', '0.5348894', '1.350256085', '-0.9923436642', '-0.6158575416', '0.4114945233', '0.5527867079', '1.333713531', '2.481591225', '-0.7428436279', '0.006584139541', '0.458694905', '-0.1901292503', '0.3013277054', '2.227791309', '0.2250000536', '0.5968090892', '-0.2066046745', '-0.1689854264', '2.196298361', '2.399042368', '1.414911509', '0.4331401587', '0.3231956959', '1.608796239', '1.067180634', '0.6332306862', '1.401075602', '1.635123849', '0.8064561486', '1.785867691', '1.73967123', '0.715331614', '0.7222978473', '0.7280105948', '0.8321766853', '-0.08312869817', '-0.06658960879']","['-0.7779824138', '-0.7420944571', '0.7477048635', '-0.3777806163', '-0.8875263929', '0.09134444594', '0.6957859397', '0.6428312063', '-1.860889196', '-0.9000840187', '0.3625385761', '1.103744268', '1.083213687', '0.6521112323', '0.8915786147', '1.946172118', '1.470901728', '0.4898383915', '-0.5718659759', '-0.4388802648', '0.1734570414', '1.959765315', '1.325465322', '0.5223721266', '-1.539231062', '-1.471582174', '-0.3108558953', '1.486589551', '0.1818238795', '1.854488015', '-1.575191855', '-1.95224309', '-0.2141050696', '0.3155562282', '-0.1868984699', '0.5746949911', '2.3936584', '-1.035133839', '-1.121046185', '-0.9242905378', '0.2461669147', '0.08137472719', '0.5148943663', '2.235269785', '-0.5885175467', '-1.83914876', '-1.134730816', '-0.4371930659', '0.3438465893', '1.122853398', '-1.905094385', '-1.564458132', '0.2748736739', '0.1350948811', '-0.07836958766', '1.250204682', '-2.212296009', '-0.9725031257', '0.1138050407', '-0.3234372139', '-1.495664001', '0.8918556571', '-0.4626130164', '0.232616365', '-0.1184962615', '-0.8901623487', '0.4858128726', '1.485219717', '0.8210205436', '0.2958758175', '0.8184555769', '1.426722765', '0.3005699813', '0.7736948729', '1.35295248', '1.198009968', '0.9986630082', '1.647136092', '1.088699818', '1.048476934', '1.350177526', '0.1730608344', '1.092354178', '0.8342339396', '-0.1728677005']"
1019,"['0.6315134168', '-1.552216887', '-0.1598572731', '-0.8145856857', '0.5572450161', '1.687167287', '-0.04461875185', '-2.553380966', '-2.002620935', '-0.9795717597', '-1.827136755', '-0.3124698102', '-0.5601562858', '0.6515178084', '1.45134604', '1.400936365', '-0.784416914', '-0.2710319161', '-0.3521290123', '0.8568355441', '1.558441401', '0.344247967', '-0.3621090949', '-0.854362309', '-0.7047397494', '-0.6500221491', '-0.6677116752', '-1.094353318', '0.3274796307', '1.204619169', '0.7522673011', '0.08327761292', '-0.1750812531', '-0.5131332874', '-0.6880480647', '0.5147150159', '1.546932101', '-0.9866278172', '-0.239575699', '-0.5401208401', '-0.7502234578', '-0.2042036504', '0.8354759812', '0.7646275759', '-0.9836983085', '-1.376944065', '-0.4090538621', '-0.1101893559', '-0.4450112879', '-0.5916568041', '1.209129095', '-0.2171703428', '-0.3350260556', '-0.3617089093', '-0.08666072041', '1.018107057', '0.6879513264', '0.2956396341', '-0.9416664243', '-0.8315028548', '-0.8870151043', '-0.1896670908', '0.4038975537', '-0.4427898228', '-1.027981639', '-0.7665317655', '-0.3829431832', '0.2769673169', '-0.6261786222', '-0.4132025838', '-0.09663965553', '-0.2582852244', '0.01775231212', '0.01072963979', '-0.7607938647', '-0.581582129', '-0.2246492505', '-0.6572499871', '0.1919270903', '-1.425563574', '-0.5914754272', '-0.2942720652', '-1.5858531', '-1.011586666', '-0.9384573102']","['0.03136713803', '-1.803270578', '-0.79164505', '-1.696482182', '0.07193559408', '1.788759828', '0.9133899808', '-2.662804127', '-2.104601145', '-1.096569538', '-1.19387722', '0.589723289', '0.3873974383', '0.8879579902', '1.500882864', '1.249853492', '0.3612018824', '0.7273500562', '-0.0801692754', '0.8467483521', '1.773590207', '1.202240825', '-0.7003133297', '-1.157323956', '-0.8718321919', '-0.4140772223', '-0.2977552414', '0.05815440044', '1.053155541', '1.654129028', '1.50734818', '1.45343256', '1.52377212', '0.4580965936', '0.08889632672', '1.170719266', '1.887251616', '-0.907132268', '1.187117338', '1.261997938', '0.4190592766', '0.9289665222', '1.543334961', '1.582850218', '-0.637594223', '-0.1055237278', '0.3736929595', '0.8552244306', '0.2754803002', '0.3309136331', '1.450780392', '0.7451266646', '1.312001586', '1.054448962', '0.8314071298', '1.77982223', '0.9698312879', '1.259320855', '0.7535990477', '-0.01275397372', '0.2298468053', '1.317271709', '1.541106582', '1.215369344', '0.4662510753', '0.7285781503', '1.279121518', '1.895244718', '1.402462125', '1.281577587', '1.341077566', '0.6702247262', '0.8986751437', '0.9313591719', '0.4699675739', '0.4463121891', '0.7870542407', '0.3452929854', '0.8819410801', '-0.5084471703', '0.119085446', '0.6050047874', '0.2376715243', '0.475666523', '0.4722411633']"
1021,"['-0.1082109213', '0.03053689748', '0.9964739084', '0.8017930984', '-0.3550642729', '-0.2480958849', '1.361271977', '1.53417623', '0.3164088726', '-0.4178676903', '-0.02559045702', '0.2572619319', '0.5515372753', '0.757501781', '0.9012240767', '0.7684233189', '-0.3386934102', '-0.4318208992', '0.1188021153', '0.2169137299', '-0.2648046911', '0.3490966558', '-0.4623208642', '-0.61771667', '0.6181726456', '0.3686695695', '-0.5611348152', '-0.6312099099', '0.2369187325', '-1.363942981', '-0.8411284685', '0.3940629363', '0.02376976609', '-0.1238563508', '0.2122779042', '-0.08649650216', '-0.6761566401', '-0.2543804944', '0.4487074912', '-1.310471416', '-1.094656467', '-0.4718105793', '-0.7045202851', '-0.6660743952', '0.2214772701', '-1.66272831', '-1.337880731', '-0.60747087', '-0.999263823', '-1.289509892', '-0.6607745886', '0.9997379184', '0.6796050072', '-0.31527704', '-0.1449842602', '-0.3686123788', '1.018186808', '1.73000145', '-0.218927592', '-1.825060964', '-0.6475057006', '-1.33028388', '0.6437858343', '-1.511788249', '-2.920418978', '-1.503386736', '-1.432561994', '-1.843648553', '-2.381172657', '-3.096506357', '-1.934392929', '-1.586845756', '-1.544350266', '0.8394848704', '0.357542336', '-0.1717609763', '0.1645025909', '-1.028004289', '-0.9497079849', '-1.308121443', '-2.493185759', '-1.322746754', '-2.352493763', '-3.745747089', '-2.967109442']","['0.2250479311', '0.02787896246', '1.969839692', '2.040204763', '-0.0904500708', '-0.4686656892', '1.050444245', '1.470075488', '0.3862923086', '0.2127186358', '0.0878797099', '0.8384116888', '1.467576504', '1.196074724', '0.2178723663', '-0.2186032087', '0.05651368201', '-0.1298775822', '0.5382491946', '0.2670073807', '-0.2706197798', '0.3982158005', '-0.1765009314', '-0.8001580238', '-0.2246561199', '-0.2023219317', '-0.007397349458', '0.4039416015', '-0.6216220856', '-2.480145693', '0.1688781381', '1.279817939', '0.03463790193', '0.4727072418', '0.700227499', '-0.353997916', '-1.16674149', '0.6882943511', '1.318052053', '-1.118395567', '-0.9594252706', '-0.1111055985', '-0.401458323', '-0.5145349503', '1.271713734', '-1.305985451', '-1.464354753', '-0.470683217', '-0.4681956768', '-0.7977257371', '-0.7453344464', '1.207441688', '0.2735134065', '-1.255875468', '-0.7351721525', '-0.6693831086', '1.504941106', '2.046785116', '-0.007863353938', '-1.766770244', '-0.474858433', '-0.6631239057', '1.337283015', '-0.7998277545', '-2.175930738', '-0.9107313752', '-0.6465619206', '-1.231277943', '-1.315826178', '-1.955384612', '-1.270869255', '-1.093167186', '-1.353459477', '-0.02248027734', '-0.5214419365', '-0.8386265635', '0.04227252677', '-1.453013659', '-0.9404335618', '-0.4628022611', '-2.455477238', '-1.439990044', '-0.9985857606', '-3.21006918', '-3.119455814']"
