sub_id,soc_win,soc_loss
1001,"['-0.5385615826', '-0.7280828953', '-0.3540582359', '0.07092767954', '-0.03767423332', '-0.567343235', '-0.420663774', '0.3082573116', '-1.958463788', '-1.115238786', '-0.4544717073', '-0.7455857992', '-0.229224205', '-0.3870268762', '-0.3210853636', '-2.020397663', '-1.381404519', '-1.007209539', '-0.7305077314']","['-0.707822144', '-1.421846271', '-1.074378729', '-1.012712479', '-0.8091329336', '-0.3863628507', '-0.2129936218', '0.05878052488', '-1.843939781', '-1.372827411', '-0.7670252919', '-1.119282842', '-0.9297651649', '-1.040143728', '-0.5124294758', '-1.491040945', '-1.069465876', '-0.5631831288', '-0.8955104351']"
1006,"['0.2308529913', '-0.3178775609', '-0.2408401221', '0.0006298524095', '-0.9790449142', '2.139318466', '1.308510423', '1.089666367', '1.208885908', '0.9255955219', '0.9660651684', '0.4314712882', '0.3391966522', '1.0440588', '1.799098611', '2.994566679', '1.223391771', '0.917301774', '1.428517103']","['-2.612423658', '-1.574718714', '-2.978934765', '-3.280230999', '-3.960383177', '-0.2057687044', '-0.8566221595', '-0.7253645062', '-0.0139277596', '-0.5569377542', '-0.2546564341', '-1.643875718', '-1.471576691', '-0.2196817994', '0.524091661', '2.580622435', '1.183223248', '0.7458178997', '1.104768991']"
1009,"['-0.6767585874', '1.103991389', '0.2803705335', '-0.9197192192', '1.113928676', '0.003456565784', '-1.137677789', '-1.002537847', '1.15501821', '0.2634063959', '-0.7950481176', '2.310502529', '1.160048008', '-0.8422369957', '-1.139338255', '1.427293897', '0.3479968011', '-0.2518041432', '0.5879337192']","['-0.3100719452', '1.024832964', '0.7013184428', '-0.05104115605', '0.6922584772', '-0.2076236755', '-0.327729702', '-0.1424387395', '0.2861637771', '0.1895291805', '0.254386425', '0.7124739289', '0.5481775999', '0.1303996444', '-0.2385770828', '0.8563072681', '0.6009466052', '0.5915443301', '0.4453661144']"
1010,"['1.877467632', '2.919677973', '2.588261366', '2.399254799', '2.367802858', '1.055163383', '1.236213684', '1.761332989', '1.916004181', '1.934369922', '1.894251108', '2.716291666', '2.15018034', '1.283408523', '1.156619906', '1.426872611', '1.568905592', '1.56494844', '1.800751925']","['1.679370999', '2.715240479', '2.38043046', '2.494158983', '2.931801796', '1.469325542', '1.212278128', '1.920617461', '2.108272791', '2.071752071', '1.889981389', '2.744378567', '2.2759583', '1.4604249', '0.7075523734', '1.340305328', '1.388348818', '1.243994355', '1.311403036']"
1012,"['2.927107096', '1.777897358', '3.927139521', '4.362923145', '2.904304981', '1.594502807', '1.310419202', '0.9299404025', '3.057059765', '3.324312687', '3.371088982', '3.634554625', '3.833550453', '3.496950626', '0.4437163472', '2.298369169', '2.157600164', '2.406248808', '3.241965532']","['1.174756765', '1.796128154', '2.569327831', '2.736191034', '2.822593212', '1.538984418', '0.9124655724', '1.012308955', '2.546835661', '2.455839396', '2.207188845', '2.264727354', '3.294611692', '2.623183966', '0.7749778628', '1.778257012', '2.235197067', '2.058833838', '3.02913928']"
1013,"['0.2366808206', '0.497854352', '-0.4113468528', '-1.322947025', '0.02322442457', '-0.3650751114', '-0.294600904', '-0.308388263', '0.210717842', '-0.9323692322', '-1.173737407', '0.05922207609', '-1.283497691', '-1.366870999', '0.2405127734', '0.03844378516', '-0.7090349197', '-0.6347498298', '-1.790922642']","['0.9432426095', '1.071750641', '0.7604080439', '-1.109435201', '1.113135815', '0.7359144688', '0.08735472709', '-0.8953992724', '1.076888919', '0.1408788711', '-1.172207117', '0.3854103684', '-0.6685387492', '-1.538143873', '-0.37368837', '0.07640020549', '-0.5813154578', '-0.9434754252', '-2.355826616']"
1015,"['-0.3882752955', '-0.6890329719', '-0.8480741978', '-0.1897362918', '-0.7434987426', '-0.2024796009', '-0.2330869287', '0.06599029154', '0.4472937584', '-0.03849119321', '-0.5146651268', '0.3414041698', '0.3352985084', '0.3305027187', '0.2692639828', '0.4948743284', '0.5070261955', '0.5881767869', '0.6926413178']","['0.8704047799', '0.3349006176', '0.5827560425', '1.135020733', '-0.1043794677', '0.7435458899', '0.3110083044', '0.7396149635', '0.8661894202', '0.6554767489', '0.3636763096', '1.087068081', '1.193004847', '0.9259041548', '0.8771921396', '1.136896253', '0.9041538239', '1.063877463', '1.648925066']"
1016,"['2.466368914', '1.158282876', '2.184837341', '3.381808519', '1.524056554', '1.437478542', '1.663005948', '2.680106163', '1.528057456', '1.476558447', '1.809577465', '1.515056729', '1.507975578', '0.8106887937', '0.8446440101', '0.7926054001', '0.1140843779', '0.251306653', '0.2553462684']","['3.669383764', '2.240470409', '3.15409112', '3.396298885', '1.434060574', '2.68763566', '3.95166707', '3.303933144', '3.071656227', '3.049491882', '1.592004299', '2.609054804', '1.657456517', '0.491689682', '3.078911304', '2.971667767', '1.762418032', '0.4309968948', '0.5883005857']"
1019,"['1.141035318', '0.5570264459', '1.304180861', '1.341038704', '1.090945721', '-0.4851578176', '0.6624338031', '1.454401612', '0.001610453008', '0.8669893146', '1.730086803', '0.4839450419', '0.7848567367', '0.9296082258', '0.5851242542', '0.8502949476', '1.755788684', '2.188965559', '1.750459194']","['-0.06164873391', '0.7617719173', '0.2095222771', '-0.3864993751', '0.5087510943', '0.4175287783', '0.3646969795', '-0.21971488', '0.823331356', '0.8723006845', '0.2800579667', '1.472984433', '1.481707335', '0.6576461196', '0.05248898268', '0.3363253474', '1.71026206', '2.105870008', '2.563078165']"
1021,"['-1.998108983', '-0.2916534543', '-0.4729883075', '-0.3688557446', '0.03212906048', '-2.416818857', '-0.9006007314', '-0.006431581918', '0.08176872879', '0.03434513882', '0.9328734279', '1.113079906', '0.9994848371', '1.228456616', '-0.4852437675', '-0.2132223696', '0.3963278532', '0.9191803336', '1.419612646']","['-0.6651428342', '-0.6722686291', '0.3894010186', '0.1268752068', '0.1605425924', '-1.985514879', '-0.760702014', '-0.001310005202', '-0.7592582107', '-0.3562725484', '0.3608973622', '0.6847273111', '0.6579114199', '0.6671715975', '-1.399520755', '-0.897988677', '-1.148639202', '-0.8705960512', '0.7231379747']"
