27  26  25  24  36  35  34  33  27  26  25  24  36  35  34  33  28  27  26  25  35  34  33  28  27  26  25  36  35  34  33  28  27  26  25  36  35  34  27  26  25  26  32  29  28  27  35  34  33  32  27  26  34  33  32  28  27  26  34  33  27  26  35  34  33  27  26  25  35  34  26  25  32  28  32  28  27  33  32  28  27  33  32  27  33  26  34  33  33  28  33  32  28  33  33  
44  44  44  44  45  45  45  45  45  45  45  45  44  44  44  44  44  44  44  44  45  45  45  45  45  45  45  46  46  46  46  46  46  46  46  47  47  47  47  47  47  48  44  44  44  44  45  45  45  45  45  45  46  46  46  46  46  46  47  47  47  47  48  48  48  48  48  48  49  49  49  49  44  44  45  45  45  46  46  46  46  47  47  47  48  48  49  49  44  45  46  47  47  48  49  
20  20  20  20  20  20  20  20  20  20  20  20  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  23  23  23  23  23  23  23  23  23  23  23  23  23  23  23  23  24  24  24  24  24  24  24  
1.399096727  1.12539351  1.135523677  1.055914879  0.4156405032  -0.2739166915  -1.164705276  -0.6138635278  0.9554136992  0.2822647691  0.7805173993  1.313173532  0.5308701992  0.5132318735  -0.4031330645  -1.229015827  2.101372004  1.32574141  0.2653529644  -0.1647610962  1.308570027  0.2076680362  -1.069805145  2.035579205  0.9619731307  0.3549637496  0.4586403966  1.061918616  1.333267093  0.713416636  -0.1357704401  2.575533628  1.01469171  0.01497788168  0.4670777321  0.5603596568  0.7988043427  0.5877509117  1.457175255  0.1254503131  0.3076758385  0.06162792072  1.005163908  2.723813057  3.306221724  3.955921888  0.1226856634  -0.1526815146  1.011678457  0.8865329623  3.648477793  3.933071136  -0.05374392122  0.9693676829  0.7914192677  2.365057468  2.458186388  2.261393309  -0.835095346  0.02175875008  2.220351458  1.540891886  0.2614824772  -0.6132279634  -0.2291356623  1.602701426  1.220301747  1.095716357  1.478802919  1.351311207  1.500317097  1.768076062  1.587011218  0.05558517948  2.485659361  1.359469533  3.06208849  2.722379446  3.361651182  1.766053438  2.658453703  2.649358511  3.945831537  2.058888197  1.654435277  1.494315147  0.5197428465  0.4084686637  1.816079974  2.35396409  2.248101473  3.352089167  1.052618265  2.854379654  2.159559488  
