27  26  25  24  36  35  34  33  27  26  25  24  36  35  34  33  28  27  26  25  35  34  33  28  27  26  25  36  35  34  33  28  27  26  25  36  35  34  27  26  25  26  32  29  28  27  35  34  33  32  27  26  34  33  32  28  27  26  34  33  27  26  35  34  33  27  26  25  35  34  26  25  32  28  32  28  27  33  32  28  27  33  32  27  33  26  34  33  33  28  33  32  28  33  33  
44  44  44  44  45  45  45  45  45  45  45  45  44  44  44  44  44  44  44  44  45  45  45  45  45  45  45  46  46  46  46  46  46  46  46  47  47  47  47  47  47  48  44  44  44  44  45  45  45  45  45  45  46  46  46  46  46  46  47  47  47  47  48  48  48  48  48  48  49  49  49  49  44  44  45  45  45  46  46  46  46  47  47  47  48  48  49  49  44  45  46  47  47  48  49  
20  20  20  20  20  20  20  20  20  20  20  20  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  21  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  22  23  23  23  23  23  23  23  23  23  23  23  23  23  23  23  23  24  24  24  24  24  24  24  
-0.2843295336  0.4007023275  0.6149166226  0.3706462681  0.6754345298  -0.6036811471  -1.711252213  -1.054916859  -1.340063453  -0.05647470802  0.6454735398  0.3130474985  0.806971848  -0.7986326218  -1.204252362  -0.6441332698  -0.5234598517  -1.262315869  -0.6265406013  -0.140583694  -1.462691307  -2.017331839  -1.699945688  -0.2878629267  -1.457711101  -1.32651484  -0.9036648273  -0.9294410348  -1.592634916  -2.500495434  -2.704910517  -0.6263705492  -1.5420295  -1.749415517  -1.073000431  -0.3321850896  -0.9266540408  -2.36531806  -1.589768291  -2.109543562  -1.639336944  -2.319525003  0.2129959017  -0.2955319583  0.2132307887  -1.260311604  -1.515350461  -1.106082201  -1.05237627  -0.9266648889  -0.7122272253  -1.504939914  -1.45758307  -1.482418299  -1.978253961  -0.2380706966  -0.4906826615  -1.177361488  -1.075052619  -1.49930191  -0.6484689713  -0.9646328092  0.9333325028  -0.5157081485  -1.587166548  -0.972043395  -0.824994266  -0.4685137272  1.461984277  0.1367522776  -0.8058284521  -1.046495676  -0.4637741148  -1.232616425  -0.9427642226  -1.181513429  -0.2920152843  0.936938107  -1.392529964  -0.8261002898  0.4445670843  0.08599289507  -2.103008032  0.5992667675  -1.906467915  0.3980950415  0.01620183699  -3.072820187  1.749914765  -1.572128296  1.90343821  -2.184685707  0.4638111293  -1.11866641  -2.882535219  
