sub_id,fri_win,fri_loss,str_win,str_loss,comp_win,comp_loss
1001,"['-0.7888169289', '-0.5078634024', '-0.5887885094', '-0.2140434384', '-1.181198478', '0.9833142757', '-0.4207695723', '-1.550464392', '-0.01300024334', '-0.733119905', '-0.8721436262', '-1.39674294', '-1.084720492', '-0.3752189577', '0.4514481425', '-0.4172449708', '-0.7149063349', '-0.5214204788', '-1.119442225']","['-3.114137173', '-2.958539486', '-2.947723627', '-2.715856552', '-2.659448385', '-1.124072313', '-1.625325561', '-1.814619422', '-2.28563118', '-2.399736881', '-1.960947514', '-3.361112833', '-2.483340979', '-1.877641082', '-1.544961333', '-2.022992849', '-2.022965431', '-1.710636139', '-2.158954144']","['-1.235361695', '-2.052060604', '-2.016640425', '-2.073087215', '-1.858744621', '-0.2996999621', '-0.5646497607', '-0.7382000685', '-1.405651689', '-1.50050211', '-1.05641818', '-1.481430411', '-1.18559885', '-0.9081750512', '0.247281611', '-1.347880125', '-1.114612937', '-0.2851703763', '-1.104363084']","['0.1290691644', '-0.5119693279', '-0.7508870363', '-0.9003686309', '-1.044195414', '0.2727391124', '0.2609018087', '-0.05960547179', '-0.4581207633', '-0.03335707635', '0.03285369277', '-0.2525769472', '-0.2173561454', '-0.04433625564', '0.6364994645', '0.1913536936', '1.046804428', '0.9712882638', '0.7260804772']","['-2.351267338', '-3.112532854', '-2.904612064', '-2.738588572', '-3.725197792', '-0.5404279828', '-2.535003424', '-2.901732206', '-2.809327602', '-3.241140842', '-2.50667572', '-4.064019203', '-3.426908255', '-2.652649641', '-2.320554733', '-2.95399785', '-2.73275876', '-1.851072073', '-2.697713375']","['-1.883885145', '-1.961727858', '-2.229448318', '-2.441969633', '-2.71066308', '-1.728679419', '-2.108129978', '-1.572995067', '-2.061644554', '-2.383189917', '-2.622284174', '-2.452511787', '-2.731092453', '-2.875761747', '-2.439881325', '-2.603012323', '-2.450235128', '-2.280469894', '-2.989447355']"
1006,"['-2.705836058', '-2.545333147', '-3.369867802', '-3.895692348', '-3.584705114', '-0.7830993533', '-1.663727403', '-2.534866095', '-1.873875141', '-2.558340788', '-2.907617331', '-3.497819662', '-3.215762377', '-2.962524891', '-0.6924750805', '-1.106182456', '-1.680223227', '-2.253428698', '-2.373682499']","['-4.617220879', '-4.267560482', '-5.129873753', '-5.313883305', '-5.523296356', '-2.76318574', '-3.732342958', '-4.942760944', '-3.696120977', '-4.576374531', '-5.120126247', '-6.096968174', '-6.215017796', '-5.162685871', '-2.142180443', '-0.7320118546', '-1.83195281', '-3.126027346', '-2.888110638']","['1.354916453', '2.57008338', '1.951860547', '-0.03337386623', '2.021497488', '2.072170734', '0.8881770968', '-1.368210554', '2.332392216', '1.44848156', '-1.430813432', '2.17554903', '1.445228934', '-1.152342319', '0.06207717955', '1.416043162', '0.100421913', '-2.512819767', '-0.2345354408']","['0.002050432842', '0.7763445377', '-0.08032986522', '-0.8107017279', '-0.2379928827', '1.106345892', '-0.2649908364', '-2.036645412', '0.4710250795', '-0.4822954237', '-1.882880092', '-0.928620398', '-1.343669057', '-1.870222688', '-0.4374727011', '0.4116750956', '-0.6106670499', '-1.688508391', '-1.109423637']","['-1.976400375', '-2.480623722', '-2.170279026', '-2.483185768', '-2.16825223', '-1.426727295', '-2.318748713', '-2.725620985', '-2.003197908', '-2.535217047', '-3.169870138', '-2.562880516', '-2.78612566', '-3.212047338', '-2.052592754', '-0.7452561259', '-2.334525585', '-3.517230749', '-3.295098543']","['-2.057960272', '-3.158151388', '-3.688419104', '-3.686487675', '-4.932279587', '-0.2233168036', '-1.413040996', '-2.61428237', '-1.854232192', '-2.616119862', '-3.555336714', '-4.069745064', '-4.565811157', '-4.654184341', '-1.898299575', '-0.7470906377', '-1.691793919', '-2.362537622', '-3.107472658']"
1009,"['-0.241905719', '1.704645634', '0.9564802051', '-1.387030482', '-0.6105206013', '0.4900222719', '-0.5625272393', '-1.155605316', '1.503069997', '0.4424158633', '-1.121580005', '0.3928023577', '-0.7016209364', '-1.652331114', '-0.7507030368', '0.6872729659', '-0.4261642396', '-1.245602012', '-1.883442521']","['-1.717714548', '0.5767459869', '-0.6056093574', '-2.274477482', '-1.168160677', '-0.4615900815', '-1.528625846', '-1.345571876', '0.6388453841', '-0.2928661406', '-1.167769551', '0.357542187', '-0.2260547578', '-1.095887661', '-1.527417779', '-0.1851512939', '-0.9424870014', '-1.074827075', '-0.7025886774']","['-1.04133451', '-1.060840845', '-2.016174078', '-3.288582802', '-2.347923756', '-0.9721345305', '-1.062175989', '-1.025059223', '-0.7534812093', '-1.757184982', '-2.643375635', '-0.6183484793', '-2.225036383', '-3.555114985', '-1.762305737', '-1.540853143', '-2.02995801', '-2.26751852', '-2.388165712']","['-0.8715010285', '-0.8264047503', '-1.010533214', '-1.017772198', '-1.015884161', '-0.2445554584', '-0.2951706648', '0.03670259193', '0.2917188704', '0.0007139704539', '-0.5495296121', '0.4595805705', '-0.370108813', '-1.085683227', '-0.1424928457', '0.2594017684', '-0.2931990623', '-1.080519557', '-1.014040589']","['0.8406510949', '1.392014503', '0.6755942106', '-0.7921698689', '-0.6618942618', '1.076999187', '-0.2714458704', '-0.8803597093', '1.53016758', '0.1556050032', '-1.391011119', '-0.2313961238', '-0.9365699887', '-1.658161402', '-0.8957853317', '0.8429379463', '-0.4318842292', '-0.9920661449', '-1.45283258']","['-0.1112497672', '0.1181969494', '-0.255623728', '-0.6440855265', '-1.042969346', '-0.8044573069', '-1.39049685', '-0.8351938128', '-0.5565806031', '-1.117303491', '-1.155447245', '-1.650518179', '-1.631821871', '-1.275329471', '-1.515436649', '-0.7499527931', '-1.024033308', '-0.7807793617', '-1.767892838']"
1010,"['-3.659852982', '-2.175824642', '-2.926004887', '-3.331679821', '-2.824392796', '-2.784454823', '-3.626957417', '-4.466959', '-2.054199934', '-2.966379881', '-3.933892965', '-2.521278143', '-3.077982903', '-3.659820557', '-3.176451445', '-1.48690474', '-2.5546031', '-3.901572466', '-2.878709793']","['-0.5817326307', '-1.248001814', '-0.9690080881', '0.07943961024', '-1.326341152', '-1.343614578', '-0.5996669531', '-0.3400381804', '-0.7936486006', '-0.4168103337', '-0.3235332072', '-0.4795814753', '-0.06298416108', '0.05262869596', '-0.534627676', '-0.4779238701', '-0.1977196783', '-0.766031146', '-0.4935898483']","['-1.065731406', '-0.6383857727', '-0.9184473157', '-0.9617773294', '-1.10748291', '-2.234240055', '-2.192525625', '-3.052476406', '-0.5023506284', '-0.9945531487', '-2.214415789', '-0.09785746783', '-0.708774507', '-2.004803419', '-2.433470249', '-1.273551822', '-1.884076357', '-2.816872835', '-2.137979269']","['1.953208447', '2.504112244', '3.272009611', '3.566933393', '2.558159351', '0.151674822', '0.8634339571', '2.356953144', '2.718804598', '3.222514153', '3.028523445', '3.645208836', '3.919074774', '2.836007833', '2.11116147', '2.817760229', '3.262560129', '2.500624418', '3.100604296']","['-4.052285671', '-4.928789139', '-5.460186481', '-5.312300682', '-5.526796818', '-4.020596504', '-5.10778904', '-5.605824471', '-4.554813385', '-5.558087349', '-5.790835857', '-5.022837162', '-5.499864578', '-5.60262537', '-4.655375481', '-3.114077568', '-4.629975319', '-5.098468304', '-5.155991554']","['-0.9934823513', '-3.779284477', '-3.692292929', '-1.954651594', '-3.672065973', '-2.66399169', '-2.108971119', '-0.667943418', '-3.21659565', '-3.127318621', '-1.605467916', '-3.232076883', '-3.030426502', '-1.865266204', '-3.278472424', '-3.574502468', '-3.498000145', '-2.441183567', '-3.286018848']"
1012,"['-0.9858173728', '-0.7256830335', '-1.435501456', '-1.003772616', '-1.888323545', '-0.8987924457', '-1.384312153', '-1.314363003', '-1.472483873', '-2.084292173', '-1.707373142', '-1.835043907', '-2.148860455', '-1.545069098', '-1.800226331', '-2.663256168', '-2.902063608', '-2.497848511', '-2.374634743']","['-1.0129987', '-0.07343000919', '-1.294056058', '-1.762716413', '-1.528532863', '0.8431638479', '-0.8072502017', '-1.595648766', '-0.003941576462', '-2.026394606', '-2.840494394', '-1.011129498', '-2.122885227', '-2.778471231', '-0.7820454836', '0.02173396572', '-2.036123037', '-2.914824486', '-2.049985647']","['-0.558088541', '0.3179217875', '-0.7428267598', '-1.235066295', '-0.6866354942', '0.8242934942', '-1.130121469', '-1.591068149', '-0.3058293164', '-1.808733344', '-2.136810303', '-1.058490396', '-1.925918341', '-2.462815523', '-1.342660546', '-0.8706855178', '-1.810418725', '-2.126039267', '-1.679640889']","['-0.2678177953', '0.5109792352', '-0.9420371652', '-2.169958591', '-0.686357975', '1.280824065', '-0.1044430956', '-1.046328664', '-0.06189348176', '-1.759763479', '-2.457726717', '-0.9026442766', '-2.008298397', '-3.079366446', '-0.007114465348', '0.3787416816', '-0.8741664886', '-1.622970343', '-1.216264367']","['-4.22347641', '-1.550989151', '-3.226522446', '-3.765475273', '-2.603214025', '-1.867382288', '-4.476170063', '-4.06173563', '-1.656425357', '-3.694081545', '-3.873592138', '-1.859070539', '-3.385484934', '-4.314524651', '-4.678709984', '-1.821547508', '-3.595587492', '-3.865808249', '-3.197131872']","['-0.7635781169', '-0.08912952244', '-1.155121565', '-2.1624403', '-1.99273622', '0.4054716527', '-1.593097568', '-2.418670416', '-0.419467479', '-2.317210197', '-3.39034462', '-1.71126461', '-2.719956398', '-3.385421515', '-1.976822019', '-0.4116827548', '-2.366934061', '-3.316805363', '-2.46356225']"
1013,"['-2.949808359', '-2.249218225', '-2.17462039', '-2.112027645', '-1.940394402', '-2.384479046', '-2.400294304', '-1.565936923', '-2.399031401', '-2.390256166', '-1.227443933', '-2.413535357', '-2.094710588', '-1.397795439', '-2.19964242', '-3.409331799', '-3.105019808', '-0.6729547381', '-2.752120495']","['-1.496675611', '-1.203767061', '-1.403170824', '-1.028010488', '-1.674309611', '-1.189068079', '-1.464741111', '-1.4062078', '-0.5712711811', '-1.285684347', '-1.491888404', '-0.985853672', '-1.496509433', '-1.245345473', '-2.392498016', '-1.203424096', '-2.11786437', '-2.484300375', '-1.943426132']","['-2.672061682', '-2.529660225', '-2.352922678', '-2.021620274', '-1.203783035', '-1.881920695', '-2.682925224', '-2.268448353', '-1.604428172', '-2.377520561', '-2.306375504', '-1.140106916', '-1.044355273', '-0.8891275525', '-3.30522728', '-2.160989761', '-2.904088497', '-1.971131206', '-1.789773703']","['-2.172727346', '-1.716478586', '-1.867879868', '-1.901325822', '-0.9213182926', '-1.028234243', '-1.841157913', '-2.080350637', '-0.7436636686', '-1.185356498', '-1.589643002', '-0.8155910969', '-0.3058993518', '-0.2268190384', '-2.236576796', '-1.08656013', '-0.9961426854', '-0.004913492594', '-0.4341131151']","['-1.793980002', '-2.515533686', '-2.762896538', '-1.893514872', '-3.164009809', '-1.164097071', '-2.007117748', '-1.4715271', '-1.698636413', '-2.117376566', '-1.356264949', '-2.275514364', '-2.031007767', '-1.002240062', '-2.029116392', '-1.06379056', '-1.06983006', '0.3103114367', '-0.647810638']","['-2.923192501', '-2.328137636', '-2.560914516', '-1.412301183', '-1.402078032', '-2.640244246', '-3.041648149', '-2.089590311', '-2.859023333', '-3.19928956', '-2.17631793', '-2.57812047', '-2.343330383', '-1.259989142', '-2.340561152', '-3.013525009', '-2.74921155', '-1.264911532', '-2.114796638']"
1015,"['-0.5582609177', '0.05328663066', '0.3768076599', '-0.02009381168', '-0.4663316905', '0.5465376973', '0.3339135349', '-0.4458553493', '0.03997116908', '0.8027508259', '0.226392746', '-0.7344346046', '-0.3774290979', '-0.2468852997', '-0.5232135653', '-0.9327848554', '-0.295504868', '-0.7301552892', '-0.7949487567']","['-0.6440700293', '-0.7381398678', '-1.311086774', '-1.859413028', '-1.306646585', '-2.123627901', '-1.906873703', '-1.646060586', '-2.944509745', '-2.602837086', '-2.508827686', '-3.29594183', '-2.872154713', '-2.443603754', '-1.679627061', '-3.765088081', '-3.08031106', '-2.599425554', '-3.333729744']","['0.6356265545', '1.126904249', '0.3678089678', '-1.367221117', '-0.6792555451', '0.4546781182', '-0.01904946566', '-1.46862936', '0.2689103186', '-0.5906489491', '-1.954759836', '-0.5860939622', '-1.609211922', '-2.319558859', '-1.031143904', '-0.2234998792', '-0.9460969567', '-1.873553276', '-1.112906098']","['0.4407374859', '0.9823178649', '0.3869519532', '-0.0219962243', '0.09934426844', '1.269957662', '1.148439288', '0.5257593989', '0.5100362301', '0.2077886909', '0.1490786672', '-0.2693616748', '-0.4429118931', '-0.2957662642', '0.9879875183', '0.7572166324', '0.7287884951', '0.106646724', '0.078462556']","['-1.598237395', '0.02120797709', '-1.160988688', '-0.8323318958', '-0.2182410061', '-0.3123275638', '-0.7141194344', '-0.9415986538', '-1.151966929', '-1.721009493', '-1.04217124', '-2.001654148', '-2.221375704', '-1.994554162', '-1.314350963', '-2.408972263', '-2.617096186', '-1.951871753', '-3.573211432']","['-0.800504148', '-0.5245015025', '-0.654805243', '-1.92048192', '-0.8388750553', '-1.892454267', '-1.557917118', '-2.184234619', '-1.283830047', '-1.16795361', '-2.043826818', '-1.255639672', '-1.384663939', '-1.963300228', '-2.15009141', '-2.405089378', '-1.93299365', '-2.192250252', '-1.807473898']"
1016,"['-3.12661624', '-2.289604187', '-2.521673441', '-2.679832935', '-1.514961839', '-2.288548946', '-3.079342604', '-3.328637123', '-1.707907319', '-2.401221275', '-3.346966505', '-0.8771458268', '-1.503729343', '-2.649990797', '-2.037701845', '-1.434087515', '-1.720308423', '-2.934176207', '-1.136478305']","['-3.679809332', '-3.229955912', '-3.358245611', '-3.334862471', '-2.63527751', '-2.148256779', '-3.025621176', '-3.637109041', '-2.067243338', '-2.456097126', '-3.446208477', '-2.028470278', '-2.147393465', '-3.194188118', '-2.415975332', '-1.374676824', '-1.361655354', '-3.533941031', '-0.9927870035']","['-2.055454731', '-1.610809922', '-1.140053391', '-0.3514629304', '-0.9403175116', '-2.894357681', '-3.190124035', '-2.803413391', '-2.23393631', '-1.724301934', '-0.8257508278', '-1.788659811', '-1.062972665', '-0.1578147411', '-3.567010641', '-1.9913342', '-1.814067245', '-1.70201993', '-0.928157866']","['-1.404044986', '-1.31671989', '-1.278881907', '-1.082173228', '-1.831325293', '-1.783565402', '-2.260639906', '-2.043295383', '-1.517698169', '-1.542151809', '-1.504957438', '-1.88201201', '-1.709056616', '-1.889065504', '-2.363652706', '-1.275405526', '-1.509769797', '-2.096247435', '-1.154128432']","['-1.720760107', '-1.174305677', '-1.950915217', '-2.121305704', '-3.07087636', '0.6190940142', '-0.6533231735', '-1.28260982', '0.2906337082', '-0.9944595695', '-2.005788088', '-1.176041126', '-2.196178436', '-2.93348074', '-0.4881018698', '1.065897465', '-0.8044887185', '-2.311550617', '-1.478525639']","['-2.408581495', '-1.949709058', '-2.198856592', '-1.837036967', '-2.654244184', '-2.458107948', '-3.305460691', '-2.832508564', '-2.063621521', '-2.75846982', '-2.817754269', '-2.423965216', '-2.710776329', '-3.420252562', '-3.16644454', '-2.069047213', '-2.698675871', '-3.284446955', '-2.693254471']"
1019,"['0.7031427026', '-0.02070200816', '0.4340591729', '1.122689366', '0.1190825328', '-0.218678847', '0.2960969806', '0.8765402436', '-0.5615281463', '-0.2013363093', '0.3012153208', '0.01769006997', '-0.1255075634', '0.1854823232', '0.5510901213', '-0.03830821812', '0.0796283856', '0.2519351244', '0.2618278563']","['0.3738143444', '-0.3678298891', '0.36829862', '1.285804868', '0.2147358805', '-0.3004143238', '-0.1839204133', '0.004593234975', '-0.4510234296', '-0.3280787766', '0.04030228406', '-0.1142845899', '-0.1475345194', '0.08662755042', '0.2144872397', '0.2253917158', '0.08938185126', '0.03524461389', '0.3102447391']","['-0.235152632', '-1.070001483', '0.1190979183', '1.37270999', '1.222702861', '-0.7858753204', '0.3624803126', '1.98329699', '-0.4400894642', '0.7779293656', '2.074422836', '1.026054502', '1.486017346', '2.04330802', '2.400244713', '1.739160419', '2.564105034', '3.200638771', '2.454431295']","['-0.3398321867', '-0.8988394737', '-0.8453624249', '-1.202076435', '-1.513272762', '-0.6450221539', '-0.7942727804', '-0.9094499946', '-1.356595159', '-1.651260495', '-2.004443407', '-2.219537497', '-2.086107016', '-2.362819195', '-1.185964823', '-1.348125577', '-1.713636279', '-1.861725926', '-1.971885324']","['-0.8287689686', '-1.731521606', '-0.5668568015', '0.4985432029', '-0.4676817656', '-2.252131462', '-0.6878199577', '1.296109796', '-1.803982735', '-0.3457055092', '0.6672208905', '-1.30025351', '-0.4177958965', '-0.280515641', '-0.4389811456', '-1.397531748', '-0.1368572414', '0.4098596275', '-0.2536264062']","['-0.02532470226', '-1.034828186', '0.1711878777', '1.435929775', '1.039658189', '-0.7558135986', '-0.09048783034', '1.488324642', '-1.115867972', '0.1868421137', '1.830354095', '0.1111790091', '0.9944873452', '1.740035415', '0.394584924', '-0.4962481856', '0.3894954324', '1.52533102', '0.8267053366']"
1021,"['-1.363920093', '0.1590935737', '-1.292086005', '-1.521322131', '-0.7803958058', '-0.7545621991', '-1.552370667', '-1.621399403', '-0.7244224548', '-1.496394753', '-1.691520691', '-1.396548152', '-1.623734593', '-1.383902788', '-2.018805742', '-2.219187975', '-2.385852098', '-2.220546722', '-3.042245626']","['-3.172275543', '-1.359981298', '-2.203932285', '-1.697005272', '-1.093365073', '-2.935825348', '-3.38458848', '-2.306967258', '-2.765185118', '-3.057411671', '-2.001654863', '-2.94817996', '-2.840200901', '-1.77520299', '-3.606743813', '-3.314726353', '-3.901036978', '-2.299433231', '-4.715782166']","['-1.634295225', '-0.5112398863', '-1.44287312', '-2.611260653', '-0.9055498838', '-1.946657658', '-1.906614423', '-2.113473892', '-2.157976627', '-2.914581299', '-2.702722549', '-1.914876699', '-2.814662695', '-2.697716951', '-1.67557919', '-2.743946314', '-3.071130753', '-2.418004513', '-3.484250307']","['0.4126627147', '2.543696642', '1.432817817', '0.9284152985', '2.536935806', '2.074864388', '1.178190589', '1.705192208', '2.167042017', '1.436789751', '1.418090343', '2.201148033', '1.773563385', '1.473385334', '0.7537145615', '0.3880132735', '0.2172908485', '1.462639332', '0.1300994158']","['-1.572973967', '-0.2236105353', '-1.123373508', '-1.623524189', '-0.07950055599', '-0.0806774348', '-1.793124318', '-3.252387047', '-0.359659642', '-1.783046842', '-3.334248781', '-0.5698368549', '-1.597993612', '-3.162513494', '-1.975101829', '-1.496195436', '-2.713526249', '-3.903214693', '-3.291180134']","['-0.1238501221', '0.5034213662', '0.06047399715', '-0.5669981241', '0.4752331674', '0.5761845708', '-0.08781050146', '-0.237097472', '0.44924438', '0.01852121204', '-0.6629654169', '0.1288610399', '0.04165606573', '-0.1846608073', '0.4837240875', '0.3177408278', '-0.1142369434', '-0.7407117486', '-0.4764008522']"
